Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
81;2019g-08-71;9;7;5;7;2;5;4;7;4;1;1;5;1;5;3;3;5;1;1;1;1;0;1;3;7;0;3;0;3;3;2;5;0;NA;8;4;17.6;4.86;3.629261078;27.62;2.49;33.66666667;76.23333333;4;2.5;61.32;56.91;120.315;13.54;47.93;33.39
84;2019g-09-01;3;7;3;3;2;5;4;7;3;1;1;5;1;5;1;3;3;1;4;1;1;0;2;2;7;3;2;0;3;3;2;3;0;NA;NA;NA;14.42;3.9;3.698634085;27.74;2.103333333;39;55.98666667;4.333333333;NA;NA;NA;NA;NA;NA;NA
85;2019g-09-04;5;9;3;7;3;9;4;5;4;1;1;5;1;3;3;7;3;1;1;1;3;2;2;3;7;5;2;0;3;3;2;3;105;NA;NA;NA;19.08;3.4;5.63837704;31.6;1.58;30.66666667;49.88333333;4.333333333;NA;NA;NA;NA;NA;NA;NA
86;2019g-09-05;7;2;3;3;3;6;2;3;4;1;1;3;1;5;1;3;3;1;1;1;2;2;2;4;7;5;1;0;3;3;2;5;105;NA;NA;NA;15.76;4.7;3.353656462;24.88;2.63;23.66666667;48.00333333;6.333333333;NA;NA;NA;NA;NA;NA;NA
87;2019g-09-06;9;3;3;3;3;8;2;5;1;1;2;5;1;5;7;7;3;1;1;1;1;0;2;2;3;5;2;0;3;3;2;3;0;NA;NA;NA;17.96;4.78;3.762373523;30.34;2.17;37.33333333;52.13666667;2;NA;NA;NA;NA;NA;NA;NA
88;2020g-01-01;7;5;3;5;3;7;2;3;4;4;1;5;1;5;3;3;3;1;1;1;3;2;1;2;7;0;1;1;3;3;2;7;110;2;NA;3;16;4.7;3.413333333;21.1;3.12;33.66666667;59.87666667;7.333333333;2.52;40.02;23.06;11.84;11.22;36.56;32.34
90;7909-04-Wx;7;1;3;3;2;3;4;3;4;1;1;1;1;5;5;3;5;1;2;2;2;3;1;3;7;0;3;1;3;5;2;5;100;5;NA;1;10.54;3.02;3.483951834;10.02;1.42;37.33333333;65.60333333;2.666666667;1.55;10.335;14.865;22.82;2.93;51.4;29.145
92;A.-Preto-joselito;9;9;5;7;3;9;2;7;4;2;1;3;1;1;5;3;5;1;4;1;1;0;1;3;7;5;2;0;3;3;2;7;0;2;2;1;15.54;6.46;2.416092218;29.46;2.27;36.66666667;78.55;4;3.16;53.98;65.14;57.27;7.87;54.68;37.07
96;AF-2011-52-25;5;5;5;3;3;9;4;5;4;1;1;3;1;3;3;3;3;2;2;2;3;3;1;3;7;3;3;1;3;3;2;5;120;1;6;1.705882353;11.22;3.87;2.903539851;13.4;1.59;18.66666667;63.70666667;5;2.185882353;20.214375;17.975625;13.424;5.437333333;45.23625;38.49333333
97;AF-2011-53-01;7;7;3;5;3;8;2;5;1;1;1;1;0;5;5;7;3;1;1;1;2;2;1;2;3;5;2;1;NA;3;2;5;50;2;6;2;14.1;4.42;3.209581909;17;1.58;30.33333333;54.68333333;9;2.38;24.3775;19.315;13.84;7.253333333;43.9725;32.2975
