Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
3;2011-24-156;3;7;3;5;3;9;4;3;4;1;1;5;1;5;1;3;5;1;1;1;2;2;2;3;7;0;3;0;3;3;2;3;100;4;8;1.04;15.42;5;3.091467366;23.56;2.953333333;40.66666667;75.20333333;4;2.2896;19.3884;30.8544;26.79866667;5.034;61.3064;38.0756
8;2012-107-002;3;5;3;3;2;9;2;3;4;3;2;3;1;4;3;3;3;1;1;1;2;2;1;3;7;5;3;0;3;3;1;5;100;2;4;1;15.74;3.42;4.60635101;19.3;1.626666667;33.66666667;61.13666667;5.666666667;2.3408;19.8356;25.7776;17.78933333;5.136;56.6396;38.252
105;Aipim-Manteiga;5;5;3;3;2;5;4;3;4;3;2;3;1;5;1;3;3;1;1;1;3;2;1;3;7;5;3;1;3;5;2;5;120;4;4;1;12.38;3.8;3.277371284;15.56;1.39;25.66666667;52.61;5.666666667;1.93;12.91;13.13;NA;NA;50.265;33.195
118;BGM-0018;7;7;5;7;3;6;2;7;4;1;1;5;1;5;1;3;5;1;1;1;1;0;1;2;7;5;3;0;3;3;1;5;0;3;4;1.666666667;19.4;5.98;3.24491767;33.56;2.183333333;29.22222222;56.46888889;4.111111111;2.527692308;39.57;23.03307692;19.64727273;5.468571429;35.10076923;39.25
119;BGM-0019;3;1;5;3;3;6;2;3;2;2;3;5;0;5;1;3;5;1;2;1;2;2;2;2;NA;5;2;1;4;3;1;5;90;5;8;1.714285714;13.56;3.4;4.006904936;16.76;3.883333333;22.275;61.78666667;4.833333333;2.019090909;18.72909091;14.88090909;10.508;4.772;40.03272727;35.85818182
122;BGM-0022;3;7;5;3;3;6;2;5;3;1;1;5;1;2;3;3;5;1;1;1;2;3;1;2;7;0;2;0;3;3;2;5;120;5;8;1.555555556;18.04;2.9;6.221461412;25.58;2.2;24.125;54.56555556;2.979583333;1.851333333;17.652;14.88733333;10.74;4.124615385;40.35533333;34.58
123;BGM-0022-T.Bco;7;5;5;5;2;6;4;5;4;3;1;3;1;4;3;7;5;1;1;1;2;3;1;2;7;5;2;0;3;3;1;5;90;5;4;1.8;13.26;3.98;3.335392535;18.46;2.75;32.77777778;62.88777778;3.333333333;1.598333333;13.48166667;12.51;9.362;6.152;49.15;37.41666667
125;BGM-0024;5;7;3;5;3;6;3;5;3;1;1;5;0;2;3;3;5;1;2;1;2;2;2;3;7;5;2;1;3;3;1;5;110;5;7;1.857142857;12.42;4.26;2.925120413;18.66;2.793333333;19.16666667;50.45166667;3.333333333;1.821818182;20.76727273;11.75272727;6.697;4.221;34.03;34.60818182
135;BGM-0036;5;5;5;3;3;9;3;5;4;3;1;5;1;5;3;7;5;1;2;1;3;2;1;2;7;5;3;0;4;3;3;7;90;5;6;2.285714286;16.46;4.68;3.518330999;24.76;2.97;34.75;65.2175;5.333333333;1.990769231;22.09307692;20.20769231;14.92333333;5.825833333;46.97769231;37.1675
137;BGM-0039;7;3;5;3;3;7;1;3;1;1;2;5;1;2;3;3;5;1;2;1;1;0;2;2;3;5;3;0;4;3;3;5;0;1;8;3;16.5;5.44;3.038020083;25.96;2.17;27.33333333;69.56;6;2.214;38.70133333;33.47733333;27.95142857;7.104;47.016;36.334
145;BGM-0048;3;2;5;3;3;9;3;3;4;3;1;5;0;5;3;3;5;1;4;1;2;3;1;2;7;5;3;1;4;3;1;5;100;3;6;2.166666667;12.48;3.42;3.652990913;12.56;2.313333333;26.625;63.49583333;4.416666667;2.175833333;19.45166667;20.77666667;14.35545455;7.195454545;49.89833333;35.925
148;BGM-0052;3;5;5;3;2;5;4;5;4;3;1;5;0;5;3;7;5;1;2;1;2;3;1;2;7;3;3;0;4;3;2;5;100;5;8;1.666666667;13.9;3.94;3.538855098;17.12;2.813333333;27;76.02833333;3.291666667;2.004615385;15.09;24.96769231;19.69416667;6.485;60.98076923;32.74461538
149;BGM-0053;5;7;5;3;2;5;4;5;3;3;1;5;1;2;3;3;5;1;3;1;2;0;NA;2;NA;0;1;1;3;3;2;3;NA;1;NA;3;16.36;5.02;3.261975867;23.16;2.32;30.33333333;93.63333333;3.333333333;2.106;22.652;15.628;11.826;3.47;39.36;32.875
152;BGM-0057;5;3;5;3;2;7;1;3;1;2;1;5;0;2;3;3;5;1;3;1;3;0;NA;2;3;5;3;0;4;7;2;5;90;3;NA;NA;16.54;5.56;2.974354487;26;NA;NA;NA;NA;2.595;33.34333333;29.65833333;25.985;2.255;44.245;35.69833333
154;BGM-0060;5;5;5;5;3;6;2;7;2;2;3;3;1;5;3;3;5;1;2;1;3;2;1;1;3;5;3;0;4;3;2;3;100;5;8;1.125;11.8;2.96;4.127664847;16.94;1.87;15.29166667;36.93083333;2.041666667;2.039090909;12.25454545;12.41818182;9.572222222;3.911111111;37.39363636;35.85555556
155;BGM-0061;5;5;5;3;3;9;3;5;4;2;3;5;1;5;3;3;5;1;1;1;2;1;2;3;7;3;3;0;3;3;1;3;100;5;8;1.285714286;10.74;2.48;4.346301003;14.1;2.163333333;23.95833333;55.19666667;2.25;2.014166667;20.36333333;15.25;12.28545455;4.027272727;39.36583333;36.96583333
157;BGM-0063;7;3;5;3;1;5;2;3;4;4;2;5;0;5;3;3;5;1;1;1;2;2;1;2;7;5;1;1;3;3;1;3;90;3;4;1.4;17.42;5.4;3.234762219;21.18;1.91;25;62.61;6.111111111;2.055;24.47875;20.1575;14.27857143;6.583333333;46.3675;31.3525
161;BGM-0069;5;9;5;5;3;6;2;7;2;2;3;3;0;5;1;3;5;1;1;1;3;NA;2;2;3;5;3;1;4;3;1;5;90;5;8;1.857142857;15.28;4.24;3.61927863;19;2.933333333;24.5;61.99666667;4;2.105454545;20.98272727;16.64818182;11.04;4.129;42.69545455;34.50272727
172;BGM-0085;7;7;5;3;3;9;3;5;4;3;1;5;1;5;3;3;5;1;2;1;3;2;2;3;7;3;2;1;3;3;2;5;100;5;4;1;14.8;5.06;2.923657648;18.24;1.783333333;23.16666667;45.77916667;2.333333333;1.860833333;20.19333333;8.995;4.683636364;1.519;26.27083333;35.15777778
194;BGM-0117;5;7;5;3;3;9;3;5;4;3;1;5;1;5;3;7;5;1;2;1;3;1;2;2;7;5;2;0;3;3;1;5;100;5;4;1.4;13.24;3.9;3.400167735;21.92;2.43;23.66666667;50.94;2.333333333;1.89875;15.3675;10.4675;8.161428571;3.337142857;40.2875;35.94875
196;BGM-0120;9;5;5;5;3;8;2;5;4;4;2;3;0;5;3;7;5;1;1;1;2;0;1;2;7;5;2;1;3;3;1;7;90;3;8;2.333333333;20;5.4;3.709563543;27.94;1.326666667;26;58.69888889;4.666666667;2.447857143;40.85785714;36.94357143;34.12;5.735;48.62428571;33.08071429
197;BGM-0121;5;2;5;3;3;8;1;3;2;2;1;7;1;5;3;7;5;1;2;1;3;1;1;3;3;5;3;0;3;3;3;5;100;5;8;1.666666667;15.7;4.04;3.89033058;30.68;3.213333333;25.7;57.60888889;4.444444445;1.859230769;25.30846154;14.65076923;11.73888889;4.673333333;34.25846154;37.49076923
202;BGM-0128;5;5;5;3;3;6;2;3;3;1;1;5;0;2;3;3;5;1;2;1;3;3;2;2;7;5;3;0;3;3;1;5;120;5;4;0.5;18.86;5.52;3.421307239;26.66;2.583333333;41.66666667;69.84;5.666666667;2.22;28.33714286;34.51;30.53692308;5.934444444;55.70571429;34.46153846
207;BGM-0134;5;9;5;3;3;7;2;3;2;1;2;5;0;5;3;3;5;1;2;1;2;1;2;2;3;5;3;1;4;3;1;5;100;3;4;1.142857143;15.46;3.32;4.690661364;21.1;2.45;27.85;55.0225;5.125;2.17;22.15214286;21.08571429;14.55923077;6.133076923;47.45714286;36.87
