Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
5;2011-34-45;9;5;3;7;2;5;4;5;4;1;2;5;1;5;3;7;3;1;3;1;3;2;2;3;7;5;3;0;3;3;2;5;115;2;4;1.666666667;15.56;4.36;3.567244678;27.54;1.93;39.33333333;68.56;4.666666667;2.364666667;24.088;32.30733333;27.554;4.751333333;57.334;37.67133333
102;Aipim-Brasil;7;3;3;5;2;8;1;5;1;1;1;5;1;2;7;7;5;1;2;1;3;2;1;3;3;3;3;0;3;3;1;3;90;2;NA;1;10.84;3.1;3.496470588;16.62;2.34;23;54.50333333;4.666666667;2.405;20.275;14.93;NA;NA;42.22;32.3
108;BGM-0001;7;7;3;5;3;6;3;5;4;1;1;5;1;2;3;7;5;1;1;1;3;0;NA;2;7;5;3;0;4;3;2;3;90;5;NA;NA;15.1;5.28;2.864091263;22.92;NA;NA;NA;NA;2.24;24.54666667;6.433333333;4.3;1.215;19.38333333;32.82
119;BGM-0019;3;1;5;3;3;6;2;3;2;2;3;5;0;5;1;3;5;1;2;1;2;2;2;2;NA;5;2;1;4;3;1;5;90;5;8;1.714285714;13.56;3.4;4.006904936;16.76;3.883333333;22.275;61.78666667;4.833333333;2.019090909;18.72909091;14.88090909;10.508;4.772;40.03272727;35.85818182
120;BGM-0020;7;5;5;7;2;5;4;5;4;3;1;5;1;3;3;3;3;1;1;1;2;3;2;2;7;5;2;1;4;3;2;5;120;3;4;2.125;18.98;3.96;4.799702517;25.84;2.346666667;29.54166667;62.54833333;4.208333333;1.764666667;14.36866667;20.98733333;15.555;5.52;61.124;34.792
121;BGM-0021;5;3;5;3;3;6;3;3;4;1;1;7;1;5;3;3;5;1;3;1;3;2;2;2;7;0;2;1;3;3;1;7;90;3;3;2.285714286;20.5;5.76;3.573006424;29.64;2.453333333;33.5;65.32166667;4.291666667;2.158181818;28.35181818;21.24909091;15.94;5.974;42.26;36.04727273
133;BGM-0033;9;9;5;5;3;7;1;5;1;1;1;3;0;5;3;3;5;1;1;1;1;0;NA;NA;7;0;NA;0;NA;NA;2;7;0;3;6;NA;13.38;2.98;4.500287356;19.8;NA;NA;NA;NA;2.605;47.21333333;29.66333333;24.95166667;6.305;37.83;37.465
134;BGM-0035;5;1;5;3;2;7;1;3;1;1;1;5;1;5;3;7;5;1;2;1;2;0;2;2;3;0;3;0;4;3;3;5;100;5;8;3;12.64;4;3.162242826;19.22;2.783333333;27.08888889;53.11555555;5.677777778;1.71375;26.24125;26.54625;21.68714286;5.644285714;49.0775;34.79375
135;BGM-0036;5;5;5;3;3;9;3;5;4;3;1;5;1;5;3;7;5;1;2;1;3;2;1;2;7;5;3;0;4;3;3;7;90;5;6;2.285714286;16.46;4.68;3.518330999;24.76;2.97;34.75;65.2175;5.333333333;1.990769231;22.09307692;20.20769231;14.92333333;5.825833333;46.97769231;37.1675
136;BGM-0037;3;3;5;3;3;6;3;3;3;1;1;5;1;2;3;3;5;1;1;1;1;0;2;2;7;3;3;0;4;3;1;5;0;1;8;2.714285714;14.02;2.88;4.98333271;18.08;2.783333333;27.375;57.64833333;4.333333333;1.75;15.04545455;15.83909091;10.617;4.166;48.34909091;36.47181818
