NAME;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
BGM-0360;BGM-0360;7;3;5;3;2;8;2;7;2;1;1;3;0;2;7;3;3;1;3;2;2;1;2;3;7;3;2;0;3;7;3;5;80;3;6;2.428571429;13.98;4.42;3.170663441;28.3;2.596666667;27.5;65.25888889;5.5;2.11;30.8125;23.96375;15.116;9.767272727;41.95;35.734375
BGM-0364;BGM-0364;9;3;5;7;3;8;4;7;4;4;2;5;0;5;3;3;3;2;1;2;2;2;1;2;7;5;3;0;4;3;2;5;100;3;8;1.375;14.66;4.9;2.992234015;19;2.216666667;22.54166667;55.0275;4.791666667;2.187857143;18.82;21.70785714;18.00461538;4.906153846;51.33857143;30.82571429
BGM-0365;BGM-0365;9;5;5;5;2;8;2;5;4;2;1;3;1;4;3;7;5;1;4;1;1;0;1;2;7;5;3;0;4;7;1;7;0;5;8;1;8.86;2.3;3.953152709;14.54;1.61;39.66666667;72.64666667;2.333333333;2.06;25.56625;11.10125;9.358571429;2.083333333;35.61375;36.31166667
BGM-0383;BGM-0383;5;7;5;3;3;6;3;5;4;2;1;3;1;2;3;3;5;1;2;1;3;2;2;3;7;3;3;1;4;7;1;5;120;5;4;1;10.34;3.72;2.779532164;10.8;3.113333333;22.66666667;54.17333333;3.333333333;1.706666667;11.78833333;8.4;4.102;4.3175;48.75333333;35.78333333
BGM-0389;BGM-0389;5;1;5;7;3;9;3;7;4;1;1;5;1;5;3;7;5;1;2;1;1;0;2;2;7;5;3;0;4;3;1;5;0;1;4;2.428571429;13.84;3.18;4.36739771;18.7;2.196666667;30.125;68.4875;5.875;2.64;32.49384615;38.63076923;28.26;11.1475;52.38615385;32.94538462
BGM-0390;BGM-0390;9;1;5;3;3;8;3;5;3;1;1;5;0;5;3;3;5;1;3;1;1;0;2;2;7;5;2;1;4;3;1;7;0;3;4;1.857142857;18.86;4.98;3.784517391;29.58;3.21;29.58333333;67.15111111;4.388888889;2.050714286;28.00928571;21.09;16.97307692;5.466666667;42.99714286;34.305
BGM-0396;BGM-0396;5;7;5;7;3;3;2;5;1;3;1;5;1;5;3;7;5;1;1;1;3;1;2;2;3;3;3;0;4;3;3;5;90;3;6;1.142857143;10.92;3.02;3.617936353;13.3;2.21;29.20833333;60.46916667;4.875;2.076923077;21.21846154;25.66230769;16.7675;7.9175;52.80923077;35.00692308
BGM-0424;BGM-0424;5;1;5;3;2;6;2;3;2;1;3;5;1;5;3;7;5;1;2;1;3;2;2;2;3;5;3;1;3;3;1;7;110;5;8;1.714285714;11.5;3.2;3.599373425;13.42;2.136666667;20.95833333;33.98666667;1.625;2.073636364;26.97545455;6.11;2.467;3.475;16.80818182;33.678
BGM-0434;BGM-0434;5;7;3;7;2;8;1;3;2;1;1;5;1;5;3;3;5;1;4;1;1;0;1;2;7;0;3;0;3;3;2;5;0;1;3;1;17.8;5.54;3.209523733;23.56;2.146666667;21.66666667;64.53333333;4.666666667;2.281111111;18.00333333;21.20555556;16.1725;7.102;54.00222222;36.37888889
BGM-0437;BGM-0437;7;5;5;3;2;6;1;5;2;1;1;5;1;9;1;3;5;1;4;1;1;0;2;2;3;5;2;0;3;3;1;3;0;3;4;1.2;13.2;2.42;5.465272209;22.36;1.536666667;21.77777778;45.36888889;2.888888889;1.70375;7.6025;7.185;3.21;2.8;46.59125;33.19714286
BGM-0440;BGM-0440;5;5;5;5;3;5;2;3;4;1;1;5;1;5;3;3;5;1;2;1;1;2;2;2;7;5;3;0;4;7;2;5;0;5;8;1.444444444;15.82;2.1;7.544771018;24.68;2.173333333;29.12416667;67.64333333;3.500833333;1.732777778;12.19777778;16.14666667;12.91176471;3.33625;55.07;33.29764706
BGM-0449;BGM-0449;7;5;5;3;2;6;2;3;3;1;1;5;0;5;3;3;5;1;1;1;1;0;1;3;7;0;2;0;3;3;2;5;0;1;3;1.857142857;11.98;2.84;4.235276695;17.54;2.423333333;28.79166667;58.97;5.333333333;2.218333333;19.37583333;23.26416667;15.76181818;7.764;52.51333333;34.13416667
BGM-0476;BGM-0476;5;7;5;5;3;7;1;5;3;1;1;5;1;5;3;3;3;1;1;1;2;0;1;3;7;5;3;0;3;3;1;3;70;3;8;1;18.06;4.72;3.842533787;25.74;1.166666667;19.77777778;42.63666667;3;1.528333333;7.94;9.526666667;7.09;3.856;52.45833333;33.134
BGM-0500;BGM-0500;5;5;5;5;2;5;3;5;4;1;1;5;1;5;1;7;5;1;3;1;3;1;2;2;7;5;3;0;3;5;1;5;90;5;8;2.0625;11.16;3.5;3.188157914;12.22;2.683333333;32.8125;74.70583333;4.708333333;1.777333333;16.90214286;21.58;18.44307692;3.792307692;55.78857143;32.85615385
BGM-0511;BGM-0511;7;5;5;3;2;8;2;5;1;1;1;7;1;5;3;7;5;1;1;1;1;2;1;2;3;0;3;0;4;7;1;5;0;3;8;1.5;11.98;4.14;2.910419159;22.12;1.633333333;27.33333333;59.84555556;2.444444445;2.171428571;22.49714286;6.598571429;2.453333333;4.638;23.71571429;28
BGM-0514;BGM-0514;3;3;5;3;3;9;2;3;4;1;1;5;1;9;7;3;5;1;1;1;2;0;2;2;7;5;3;0;3;3;1;5;90;1;3;2.333333333;16.16;2.96;5.687536321;19.68;3.053333333;27.58333333;61.30083333;3.8125;2.290833333;22.09416667;21.80333333;15.66636364;5.336363636;47.73333333;31.48583333
BGM-0540;BGM-0540;3;5;5;3;3;6;1;5;1;3;1;3;1;5;3;7;5;1;3;1;2;2;2;2;3;3;3;1;4;7;3;7;90;3;4;1.25;14.88;4.82;3.090060628;19.8;3.49;27;83.71666667;12.33333333;2.02;21.97461538;25.42153846;23.46545455;5.941428571;48.9;31.66916667
BGM-0541;BGM-0541;9;2;5;3;2;6;3;5;4;3;1;3;1;5;3;3;5;1;3;1;2;3;1;2;7;3;3;0;4;3;1;5;70;5;8;1.8;23.16;6.74;3.433992846;32.84;2.103333333;28.88888889;46.07777778;5.333333333;2.509166667;43.77333333;16.99833333;13.33181818;6.58;28.11583333;37.17166667
BGM-0556;BGM-0556;7;7;5;7;2;5;2;5;3;1;1;5;1;5;3;3;5;1;4;1;1;0;2;2;7;3;3;0;4;7;1;7;0;1;8;2;15.64;4.34;3.599908744;26.92;2.086666667;29.66666667;54.60666667;6;2.746428571;39.72428571;31.76214286;25.33538462;8.76;44.96071429;35.94
BGM-0557;BGM-0557;7;5;5;5;3;7;2;3;3;1;1;3;0;5;7;3;5;1;1;1;2;2;1;2;7;5;2;1;4;3;1;5;90;5;3;2.6;13.24;4.2;3.159446367;17.7;2.373333333;24.70916667;57.67666667;4.874166667;1.917222222;22.48166667;20.10388889;14.47941176;6.335;45.28777778;35.80444444
BGM-0570;BGM-0570;9;5;5;3;3;9;2;5;3;1;1;7;1;7;3;7;5;1;2;1;2;1;2;2;7;5;3;0;4;3;2;5;0;3;6;1.428571429;13.18;2.52;5.229208896;22.82;2.113333333;23.625;50.305;3.708333333;1.668333333;17.29666667;17.39;10.54454545;6.716363636;48.62166667;32.91166667
BGM-0575;BGM-0575;7;3;5;3;3;7;1;3;1;1;1;5;1;5;3;3;5;1;1;1;2;3;1;2;3;5;3;1;3;5;2;5;50;5;3;1;13.98;3.22;4.365584416;13.7;2.08;25.11111111;66.69666666;3.777777778;1.871428571;17.48285714;15.90285714;13.51333333;4.714;42.99714286;35.63
BGM-0585;BGM-0585;9;7;3;3;1;4;1;5;1;3;1;5;1;3;3;3;5;1;1;1;3;2;1;2;3;5;3;0;3;3;3;5;90;5;8;1.8;17.18;3.16;5.452007169;25.62;3.013333333;35.55555555;68.96555555;3.333333333;1.693333333;15.99166667;18.25;11.964;6.918;53.41666667;34.78
BGM-0598;BGM-0598;7;5;5;5;3;7;1;5;2;1;1;3;1;5;3;3;5;1;3;1;2;2;1;1;3;5;3;0;3;3;2;7;70;5;6;1.2;16.52;4.16;4.020880605;23.58;2.876666667;26.66666667;56.42;5.111111111;2.309090909;30.32909091;30.82;26.354;6.62;51.17909091;38.735
BGM-0607;BGM-0607;7;1;5;3;3;6;2;3;3;1;1;7;1;5;1;7;5;1;1;1;2;0;2;3;7;5;3;0;4;3;3;5;90;5;8;1.875;16.12;3.48;4.614272896;25.28;4.653333333;27.22916667;67.175;3.083333333;1.651818182;22.42272727;16.75272727;12.708;3.225;39.66272727;34.251
BGM-0610;BGM-0610;9;7;5;3;2;5;4;5;3;1;1;5;1;4;3;7;5;1;1;1;2;3;2;3;7;5;3;1;4;7;3;3;90;5;4;1;12.72;3.8;3.3624954;13.52;2.316666667;24.33333333;65.73666667;2.666666667;1.671428571;11.07571429;12.22285714;5.988333333;3.898;53.29857143;31.70714286
BGM-0626;BGM-0626;7;3;5;5;3;9;2;5;4;1;1;5;0;5;7;7;3;1;1;1;2;3;1;3;7;3;3;1;3;3;1;5;100;3;6;1.25;14.04;4.34;3.234448872;20.72;2.456666667;20;47.72333333;4.666666667;1.763333333;27.034;12.49133333;8.442857143;4.539;30.70933333;35.73384615
BGM-0642;BGM-0642;5;5;3;5;2;7;2;5;4;3;1;3;1;2;3;3;5;1;1;1;3;1;1;2;7;5;3;1;4;7;1;7;90;3;6;1.2;16.58;4.44;3.744324046;24.14;1.836666667;22.66666667;58.10666666;3.555555556;2.1;16.98333333;12.19166667;7.725454545;3.935714286;40.4975;36.72666667
BGM-0670;BGM-0670;7;3;5;3;3;6;2;3;4;2;1;7;1;5;3;7;5;1;4;1;1;0;1;2;7;5;2;0;3;3;1;3;0;1;8;2;16.82;5.32;3.18011112;24.72;2.813333333;19.55555555;51.78555556;3.444444445;2.096666667;27.94888889;11.72555556;7.25625;4.365714286;27.14;31.865
BGM-0672;BGM-0672;3;1;5;3;2;3;3;3;4;1;3;5;0;5;7;3;5;1;2;1;2;3;2;2;7;0;3;0;4;3;1;5;90;5;8;1;13.16;2.94;4.499431644;17.06;2.303333333;14.33333333;46.43333333;1;1.525714286;10.30142857;7.634285714;4.958333333;2.691666667;38.51428571;37.15
BGM-0678;BGM-0678;9;5;5;5;3;7;3;7;1;4;2;5;1;2;3;3;5;1;3;1;3;3;2;2;3;5;3;1;3;3;1;7;90;3;8;2.142857143;21.74;6.86;3.180938375;38.46;2.926666667;23;58.50555556;3.111111111;1.925294118;17.49705882;18.64411765;14.42625;5.246666667;48.31529412;38.22470588
BGM-0699;BGM-0699;9;7;3;3;3;8;2;5;1;1;2;5;0;5;3;7;5;1;1;1;1;2;2;2;7;0;2;0;3;3;2;3;0;5;8;1.285714286;13.58;3.24;4.207440476;17.84;3.216666667;31;54.60333333;3.25;1.949166667;20.56583333;25.04166667;21.11363636;3.952;56.695;36.76666667
BGM-0702;BGM-0702;7;7;3;3;2;6;3;5;2;1;1;5;1;2;3;3;5;1;1;1;2;2;2;2;3;3;2;1;3;3;2;7;90;5;8;1.25;13.46;3.36;4.037449221;10.46;2.453333333;23.11111111;62.10888889;3.444444445;2.230625;27.06533333;21.796;17.17071429;5.744545455;45.63666667;36.09153846
BGM-0706;BGM-0706;5;5;5;5;2;6;3;3;4;2;1;5;1;2;3;3;5;1;1;1;3;0;1;3;7;3;3;0;3;3;2;7;80;3;8;1.4;19.36;4.44;4.34501332;25.34;2.06;20.77777778;50.16888889;3;2.2975;23.84416667;10.78833333;7.15;3.197142857;27.78916667;39.22090909
BGM-0726;BGM-0726;9;7;5;5;2;9;3;5;4;1;1;3;0;3;3;7;5;1;1;1;3;3;1;2;7;5;2;1;3;3;2;5;100;1;8;1.25;10.58;2.52;4.276339523;14.6;1.596666667;22.10416667;54.88;3.833333333;1.804666667;12.532;12.47533333;7.811428571;5.095;48.69533333;34.93857143
BGM-0728;BGM-0728;7;3;5;3;2;6;2;5;3;1;2;3;1;4;3;3;3;1;1;1;3;3;2;3;7;5;3;1;4;3;3;7;90;5;8;1;16.24;3.26;5.069938621;19.62;2.22;29.33333333;49.66333333;3.666666667;1.83875;18.269375;19.07;16.076;4.103636364;50.070625;35.7125
BGM-0752;BGM-0752;7;5;5;5;3;8;2;7;3;2;3;5;1;5;3;3;5;1;2;1;3;1;NA;3;7;3;3;1;3;3;1;7;100;5;NA;NA;13.32;2.76;4.829430285;16.26;NA;NA;NA;NA;2.435;19.05333333;4.148333333;2.196666667;3.095;17.50333333;36.04
BGM-0760;BGM-0760;5;2;5;3;3;9;3;3;1;4;3;1;1;5;3;3;5;1;2;1;2;3;1;3;7;5;3;0;4;3;1;7;90;3;6;1;11.24;2.78;4.058768632;15.4;3.543333333;33;62.78333333;3.666666667;2.0425;16.45375;24.15375;21.42166667;4.921666667;54.095;31.63625
BGM-0779;BGM-0779;7;7;3;3;1;3;4;5;3;2;3;5;0;5;7;7;5;1;1;1;2;3;2;2;7;5;2;1;4;3;1;5;90;5;8;1;16.02;4.36;3.675264271;20.94;3.89;24.20833333;58.08166667;3.916666667;1.976363636;18.10363636;15.99545455;11.349;4.858888889;43.18;34.26222222
BGM-0780(B);BGM-0780(B);9;9;5;7;3;8;2;5;1;3;1;5;0;3;3;3;5;1;3;1;2;2;1;2;3;5;2;0;4;3;2;5;100;5;8;1.75;13.34;4.3;3.108021673;21.6;2.428333333;20.42222222;63.08833333;4.333333333;1.7775;11.7775;14.78;8.906666667;3.883333333;52.1525;35.31
BGM-0793;BGM-0793;9;5;5;5;1;3;4;5;2;2;3;5;0;2;3;7;5;1;1;1;3;2;2;3;7;5;3;0;3;3;3;3;90;3;8;1.6;14.8;5.28;2.799157458;25.3;1.526666667;25.77777778;49.50555555;3.222222222;1.69;10.3;15.715;11.57;3.318333333;59.68833333;34.99333333
BGM-0818;BGM-0818;5;5;1;3;2;5;4;3;4;1;1;3;1;5;1;3;3;1;2;1;2;3;2;3;7;5;3;1;3;3;2;3;110;5;3;1;11.26;3.62;3.087077922;14.9;1.13;34.33333333;53.1;7;2.13375;25.7275;8.6725;4.014285714;2.643333333;21.9;39.978
BGM-0822;BGM-0822;7;5;5;3;2;5;4;3;4;4;1;5;1;6;1;3;5;1;1;1;2;2;2;2;7;5;3;0;3;3;2;7;70;1;6;1;21.14;2.54;8.296445623;31.48;2.97;15;55.9;9.666666667;2.280909091;32.79636364;28.59727273;24.711;5.663333333;46.56090909;34.83272727
BGM-0823;BGM-0823;5;7;3;5;2;9;2;5;4;1;1;5;1;1;1;3;3;1;1;2;2;3;1;3;3;5;3;0;3;3;1;5;80;5;8;2;10.7;3.94;2.744166667;15.9;2.033333333;42;77.38666667;7.666666667;2.198;38.06733333;34.138;30.255;5.599;45.48466667;35.18666667
BGM-0867;BGM-0867;7;3;5;3;3;9;3;5;4;1;1;3;1;5;3;3;5;1;4;1;3;1;1;2;7;5;3;0;4;7;2;5;100;1;8;1;12.62;4.28;2.977745673;17.86;1.48;22;68.67;6.666666667;2.191818182;24.68818182;15.03363636;7.835;8.47;31.78;35.9975
BGM-0868;BGM-0868;7;5;3;5;2;8;1;7;4;1;1;5;1;5;3;3;5;1;3;1;2;0;1;2;7;5;3;0;4;7;1;7;90;5;6;1;17.2;4.94;3.481072429;29.86;2.186666667;52;61.26;2.666666667;2.635;40.155;32.985;29.09166667;5.065;45.90166667;38.295
BGM-0869;BGM-0869;5;2;5;3;3;9;3;3;4;1;1;3;1;5;7;3;5;1;4;1;2;2;2;2;7;3;3;1;4;3;3;5;80;4;8;1.142857143;13.36;3.48;3.887033434;16.22;2.263333333;26.87777778;62.97;2.777777778;1.482857143;7.025714286;8.185714286;5.39;3.1;56.57714286;33.40142857
BGM-0870;BGM-0870;3;3;5;3;2;8;2;5;1;4;2;3;0;5;7;7;5;1;1;1;2;0;2;2;3;3;2;0;3;3;2;5;90;3;8;1.5;12.82;4.02;3.192426119;20.18;1.99;20.33333333;64.88222222;3.666666667;1.604444444;13.06555556;14.99555556;11.00285714;2.947142857;54.54111111;32.64222222
BGM-0872;BGM-0872;5;3;5;3;3;9;2;5;4;2;3;7;0;5;3;3;5;1;1;1;2;1;1;1;7;5;3;0;4;3;3;5;80;3;6;2.2;14.74;4.42;3.347812677;23.16;2.423333333;26.41666667;70.39666667;2.75;1.789;12.546;13.968;8.501111111;5.696666667;51.731;31.764
BGM-0878;BGM-0878;9;5;5;3;2;3;4;5;2;2;3;3;0;5;3;3;5;1;1;1;3;1;2;2;3;5;3;1;4;7;3;7;100;5;8;1.285714286;13.52;4.26;3.186071362;16.4;2.263333333;28;57.935;3.5;1.6705;15.512;18.8305;14.52210526;5.164117647;52.537;35.81842105
BGM-0879;BGM-0879;9;9;5;3;3;6;2;5;4;4;3;7;0;5;1;3;5;1;1;1;3;0;2;3;7;5;3;0;4;3;2;5;70;3;8;2;16.18;1.5;10.82521008;13.76;2.77;25;61.58;3.444444444;1.95;19.4025;21.64375;16.21857143;5.305714286;51.23625;35.1825
BGM-0882;BGM-0882;5;3;5;3;1;8;3;3;4;3;2;5;1;6;1;3;5;1;1;1;1;0;2;1;7;5;3;0;4;3;2;5;0;1;2;1.571428571;16.86;2;8.42122807;18.68;1.703333333;21.625;61.435;5;1.740909091;13.29818182;17.78;11.699;6.522;54.99909091;34.12363636
BGM-0885;BGM-0885;7;3;5;3;2;7;2;5;4;3;2;5;1;5;1;3;5;2;1;1;3;2;1;4;7;5;3;1;4;NA;3;3;90;3;4;1;14.6;3;4.868281372;15.68;1.44;37.33333333;58.53333333;4.666666667;2.111818182;19.21727273;34.97272727;31.166;7.456666667;64.02090909;29.59
BGM-0890;BGM-0890;7;1;5;3;3;8;2;3;4;4;1;5;0;6;3;7;5;1;1;2;3;2;2;2;7;3;3;1;3;7;1;7;80;5;4;1;11.84;2.54;4.699296703;12.3;1.453333333;31.33333333;80.64333333;3.666666667;2.27125;23.98875;18.4525;12.22142857;4.723333333;41.6975;37.625
BGM-0895;BGM-0895;5;5;5;5;2;6;4;7;4;2;3;3;1;6;3;3;5;1;2;1;2;3;2;2;7;5;3;0;4;7;1;7;90;5;8;1;17.7;2.06;8.716497327;19.94;2.64;37;67.21;6;2.135;20.30875;23.235;19.44857143;2.173333333;54.65625;37.38125
BGM-0901;BGM-0901;7;5;5;5;3;7;1;5;2;2;3;5;1;5;3;3;5;2;2;1;1;1;2;2;3;3;2;0;4;7;3;5;0;1;8;1;17.54;4.44;3.994923077;26.62;2.64;37;81.10666667;6;2.104285714;36.16785714;35.49428571;28.60615385;7.331111111;48.89571429;35.63857143
BGM-0919;BGM-0919;9;9;9;9;3;9;3;7;4;2;3;5;0;4;7;3;5;1;1;1;3;2;2;2;7;0;1;1;3;3;1;5;90;3;8;1.444444444;14.32;2.04;7.090382659;18.56;2.926666667;18.58416667;61.29333333;3.915;2.068666667;17.35733333;15.178;9.625714286;6.775384615;43.142;31.34933333
BGM-0929;BGM-0929;5;5;5;3;3;6;2;5;3;2;1;5;1;3;3;3;5;1;1;1;2;3;1;4;7;3;3;1;4;3;2;5;90;5;4;1.4;15.62;1.58;9.952381851;21.16;1.68;15.66666667;60.77333333;1.5;1.558;6.336;11.37;6.175;4.135;56.22;33.222
BGM-0936;BGM-0936;5;5;5;5;3;6;2;7;2;2;3;5;0;5;3;7;5;1;2;1;3;3;2;4;3;0;3;0;4;3;3;5;100;5;8;1.142857143;14.9;3.32;4.518184826;22.82;3.3;20.08333333;66.03666667;3.333333333;2.383333333;24.65;15.952;11.88642857;4.793571429;35.104;33.97384615
BGM-0944;BGM-0944;5;5;5;3;1;5;3;3;4;4;3;5;0;5;3;7;5;1;1;1;2;2;1;2;7;5;3;0;3;3;1;5;90;1;8;2.333333333;13.4;3.64;3.682525431;18.62;3.6;29.83333333;81.78666667;4;2.324444444;23.56111111;24.76666667;20.54375;4.93625;47.11111111;34.61444444
BGM-0959;BGM-0959;5;1;5;3;2;5;2;3;1;1;1;5;0;5;1;3;5;1;1;1;3;0;2;2;3;3;3;1;3;3;3;5;90;5;8;1.285714286;14.3;3.98;3.597539732;17.14;1.943333333;24.29166667;54.02666667;3.833333333;1.531428571;12.865;16.55571429;12.72461538;4.365384615;56.17428571;34.33428571
BGM-0961;BGM-0961;3;7;5;3;3;9;3;7;2;2;3;5;0;5;1;7;5;1;1;1;3;2;1;3;3;5;3;0;3;3;2;5;90;3;8;1.142857143;15.54;2.66;5.895898642;23.6;2.866666667;18.85555556;51.01222222;3.166666667;2.232857143;19.70214286;10.09642857;5.266153846;5.108461538;33.26571429;35.895
BGM-0963;BGM-0963;5;5;3;3;2;8;2;5;3;2;3;5;0;5;7;7;5;1;1;1;2;1;2;3;7;3;3;0;3;3;2;5;90;5;8;1.222222222;11.6;2.78;4.171041475;11.98;2.456666667;17.25;41.21666667;2.333333333;1.956923077;17.37846154;6.29;2.904;2.234;24.82;35.981
BGM-0967;BGM-0967;7;5;5;3;3;9;3;5;3;2;2;5;0;5;7;7;5;1;1;1;1;0;2;4;7;3;3;1;3;3;3;5;0;1;8;1.25;16;3.66;4.384346522;17.48;2.566666667;18.66666667;56.93916667;4.75;2.267857143;20.06142857;15.21;9.14;5.585;43.96714286;36.01285714
BGM-0973;BGM-0973;3;5;5;3;2;8;1;5;3;1;1;3;0;5;3;7;5;1;1;1;3;3;2;3;7;3;3;0;3;3;2;7;80;3;8;1.142857143;11.54;3.54;3.253081262;18.34;1.66;21.625;58.70583333;3.708333333;2.118;22.10066667;16.332;11.04571429;5.832142857;41.73533333;32.97066667
BGM-0977;BGM-0977;7;5;3;5;3;8;3;3;4;2;1;5;1;5;1;7;3;1;1;1;2;3;1;1;7;0;2;0;3;3;2;7;80;5;8;1.25;10.32;3.2;3.232546083;11.04;2.143333333;22.83333333;81.79666667;5.333333333;2.305;26.6275;23.36375;19.13285714;5.365;41;36.54714286
BGM-0983;BGM-0983;3;3;5;3;3;6;2;3;2;2;2;5;0;5;1;7;5;1;2;1;2;3;2;2;3;3;3;1;3;3;2;5;100;5;8;1;11.24;3.66;3.088039953;17.56;2.093333333;23.33333333;48.7;2.111111111;1.807272727;12.29;9.71;8.148888889;3.13;40.31;36.58666667
BGM-0984;BGM-0984;5;9;5;7;3;6;3;7;1;1;1;5;1;5;7;7;5;1;2;1;2;1;2;2;7;3;3;1;4;3;2;5;100;5;6;1.428571429;14.3;3.5;4.093586566;22.66;1.953333333;20.04166667;54.045;5.166666667;1.954444444;18.43444444;12.26666667;6.46625;4.1875;34.99333333;34.4975
BGM-0986;BGM-0986;3;5;5;3;1;4;2;5;2;2;3;5;0;4;7;7;5;1;1;1;2;1;1;1;3;5;2;0;3;3;1;3;90;3;8;1.333333333;12.26;2.12;5.823527197;11.28;3.45;17.45666667;60.79166667;3.875833333;1.879333333;20.202;10.01266667;4.332857143;5.736923077;32.2;34.712
BGM-0991;BGM-0991;7;5;5;3;3;9;3;5;2;2;3;5;0;5;7;3;5;1;2;1;2;2;1;3;3;3;2;1;4;3;1;7;90;5;4;1;19.16;5.46;3.513913998;24.66;2.043333333;15.66666667;67.81666667;4.333333333;2.147142857;17.41;9.837142857;5.308333333;3.678;36.38142857;34.158
BGM-0993;BGM-0993;5;7;5;5;1;8;4;5;3;3;2;5;0;5;3;7;5;2;1;1;3;1;2;2;7;5;3;0;3;3;2;7;90;3;8;1;16.78;4.46;3.78450936;21.94;1.73;20.47916667;52.99166667;4.041666667;1.5875;8.006666667;10.91583333;7.017272727;4.494545455;48.92083333;34.33909091
BGM-0998;BGM-0998;7;2;5;3;3;9;3;3;4;3;2;5;1;4;3;3;5;2;2;1;2;2;1;2;7;5;3;1;4;3;1;5;100;5;4;1;14.22;2.26;6.386143486;13.42;1.513333333;22.91666667;49.8975;3.25;1.707777778;8.764444444;7.788888889;5.33;3.3725;41.47;36.27571429
BGM-1006;BGM-1006;3;2;5;3;3;3;4;3;4;1;1;5;1;7;3;3;5;1;2;1;2;2;1;1;7;0;3;0;3;3;1;5;100;5;6;2;10;2.16;4.629977414;14.6;3.48;16.9375;59.29916667;3.291666667;1.653636364;13.14;7.099090909;3.544;3.773;35.83909091;30.771
BGM-1007;BGM-1007;7;5;5;3;1;4;2;3;4;3;1;5;1;2;3;7;5;1;1;1;1;0;1;2;7;3;2;0;4;3;1;7;0;3;4;1.333333333;12.72;4.38;2.905639947;19.14;1.766666667;26.66666667;44.11;5;1.726;14.23;12.694;6.26;5.81;41.83;30.118
BGM-1040;BGM-1040;5;5;5;5;3;7;2;5;1;3;1;5;1;5;7;7;5;1;2;1;2;1;1;1;7;5;2;1;3;3;3;5;90;3;8;1;13.7;4;3.426886088;20.54;2.406666667;33.94444445;59.97111111;3.333333333;1.792857143;13.78;11.31;9.646666667;3.026666667;42.04142857;35.47571429
BGM-1073;BGM-1073;7;2;5;3;3;6;3;5;4;3;1;5;1;5;3;3;5;1;3;2;1;0;2;2;7;5;3;0;4;7;3;5;0;1;8;2;15.68;4.36;3.598125324;26.22;1.323333333;22.33333333;64.47;5.333333333;2.424;35.30533333;26.05133333;22.65928571;5.216;42.826;37.16142857
BGM-1080;BGM-1080;7;7;5;5;2;5;4;5;4;1;1;5;0;2;7;7;5;1;1;1;3;2;2;2;7;0;2;0;4;3;3;5;90;3;8;1.5;13.94;4.08;3.414425777;21.54;2.796666667;23.16666667;60.76666667;2.333333333;1.69125;10.96;16.06875;13.72;3.211666667;56.43125;33.05428571
BGM-1085;BGM-1085;7;7;3;7;3;9;2;5;3;1;1;3;1;5;3;3;3;1;2;1;2;3;2;2;3;5;3;1;3;3;NA;5;120;5;6;1;11.5;3.38;3.400440942;16.5;1.63;27.33333333;92.55;2.333333333;2.604;33.346;30.42;34.815;2.43;47.516;39.444
BGM-1115;BGM-1115;5;5;5;3;2;6;3;5;4;2;1;3;1;5;3;3;5;1;1;2;3;2;2;2;7;5;2;0;3;3;1;5;70;5;4;1.357142857;17.7;2.26;8.050116627;25;21.72666667;24.42416667;61.2025;3.8775;1.460714286;10.34857143;8.835714286;3.977692308;5.163846154;45.10071429;32.39461538
BGM-1124;BGM-1124;5;7;5;9;3;6;2;3;3;1;1;3;1;5;3;3;3;1;1;2;1;0;2;2;7;3;3;0;4;3;3;5;0;1;8;2;13.78;4.18;3.303522484;19.66;2.783333333;23;49.46;4.666666667;2.101428571;40.63571429;23.86428571;19.595;11.07;36.29142857;29.99166667
BGM-1130;BGM-1130;3;5;5;3;3;6;1;3;4;3;1;5;1;2;3;7;5;1;1;1;2;1;2;3;7;5;1;0;4;3;3;5;90;1;3;1;13.24;4.28;3.098854701;27.78;1.136666667;8.5;40.02;3.333333333;1.844285714;18.43285714;14.94571429;13.02833333;2.312;31.41142857;31.506
BGM-1136;BGM-1136;7;3;5;3;2;6;1;3;4;4;2;5;1;6;3;3;5;1;1;1;2;1;2;3;7;3;3;1;4;7;2;5;100;1;6;1;15.44;1.8;8.61004472;19.26;2.916666667;29;71.17;5.333333333;2.060909091;26.55818182;26.559;22.32555556;7.263333333;49.051;35.8325
BGM-1137;BGM-1137;7;7;5;7;3;7;1;5;2;4;3;5;1;5;1;3;5;1;3;1;3;2;2;3;3;5;2;1;3;3;3;7;100;5;8;1.222222222;13.72;3.7;3.739951834;13.66;2.276666667;23.61111111;57.65222222;2.166666667;2.054;12.91266667;6.958666667;5.491538462;2.678888889;32.11133333;34.59363636
