NAME;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
7741-8-Wx;7741-8-Wx;7;5;3;5;3;9;4;5;4;4;1;3;1;5;1;3;3;1;2;2;2;3;2;3;7;5;3;1;3;3;2;5;115;4;NA;1;7.26;1.96;3.782420245;8.72;1.613333333;24;51.35;1.333333333;1.465;7.63;9.375;15.74;0.74;45.565;32.54
7909-04-Wx;7909-04-Wx;7;1;3;3;2;3;4;3;4;1;1;1;1;5;5;3;5;1;2;2;2;3;1;3;7;0;3;1;3;5;2;5;100;5;NA;1;10.54;3.02;3.483951834;10.02;1.42;37.33333333;65.60333333;2.666666667;1.55;10.335;14.865;22.82;2.93;51.4;29.145
98103-08;98103-08;5;5;5;3;3;9;4;3;4;2;1;5;1;1;3;3;5;1;1;1;2;3;1;1;7;5;2;0;4;7;2;5;90;2;8;1;8.4;3.8;2.226350761;19.74;2.07;19;76.59;3;2.38;22.79;30.575;39.34;6.74;54.275;35.325
A.-Preto-joselito;A.-Preto-joselito;9;9;5;7;3;9;2;7;4;2;1;3;1;1;5;3;5;1;4;1;1;0;1;3;7;5;2;0;3;3;2;7;0;2;2;1;15.54;6.46;2.416092218;29.46;2.27;36.66666667;78.55;4;3.16;53.98;65.14;57.27;7.87;54.68;37.07
AF-2011-52-25;AF-2011-52-25;5;5;5;3;3;9;4;5;4;1;1;3;1;3;3;3;3;2;2;2;3;3;1;3;7;3;3;1;3;3;2;5;120;1;6;1.705882353;11.22;3.87;2.903539851;13.4;1.59;18.66666667;63.70666667;5;2.185882353;20.214375;17.975625;13.424;5.437333333;45.23625;38.49333333
AF-2011-53-01;AF-2011-53-01;7;7;3;5;3;8;2;5;1;1;1;1;0;5;5;7;3;1;1;1;2;2;1;2;3;5;2;1;NA;3;2;5;50;2;6;2;14.1;4.42;3.209581909;17;1.58;30.33333333;54.68333333;9;2.38;24.3775;19.315;13.84;7.253333333;43.9725;32.2975
AF-2011-53-05;AF-2011-53-05;7;5;3;3;2;8;2;5;1;1;1;3;1;5;3;3;3;2;1;2;3;3;1;3;3;5;3;1;NA;5;2;5;70;3;4;1.75;13.24;3.82;3.494330885;7.06;1.556666667;37;63.32666667;6;2.255;32.78;24.67;24.54333333;5.66;40.995;33.7975
Aipim-Brasil;Aipim-Brasil;7;3;3;5;2;8;1;5;1;1;1;5;1;2;7;7;5;1;2;1;3;2;1;3;3;3;3;0;3;3;1;3;90;2;NA;1;10.84;3.1;3.496470588;16.62;2.34;23;54.50333333;4.666666667;2.405;20.275;14.93;NA;NA;42.22;32.3
Aipim-Brasilia;Aipim-Brasilia;5;7;5;5;3;6;2;5;4;1;2;5;1;7;7;7;5;1;3;1;2;3;1;2;7;3;2;0;3;3;1;5;90;2;4;1.055555556;25.1;5.84;4.302870094;2.86;2.293333333;24.83333333;53.59166667;4.833333333;2.022105263;12.97684211;10.34315789;6.475;7.57;45.84473684;35.20055556
AM-Jaeve-RN;AM-Jaeve-RN;5;3;3;3;3;9;3;3;4;3;1;3;1;5;1;3;3;1;2;1;2;3;1;3;7;5;2;0;4;7;3;7;100;4;4;1;13.2;4.1;3.224753745;17.3;2.346666667;29.33333333;74.30333333;4;2.195;22.58;26.895;15.17;5.73;54.72;35.115
BGM-0006;BGM-0006;3;7;5;3;2;8;1;5;1;3;1;5;1;9;3;7;5;1;1;1;2;2;1;2;3;5;3;1;4;3;2;5;80;3;6;1.5;13.26;2;6.854232804;13.98;2.206666667;26.25;76.9175;4;1.633;13.471;17.905;11.81333333;6.896666667;57.731;32.717
BGM-0010;BGM-0010;9;3;5;5;2;9;4;5;4;2;1;5;0;5;3;3;5;1;3;1;2;2;NA;2;7;5;2;1;3;7;1;7;90;5;NA;NA;9.22;2.78;3.352915231;10.24;NA;NA;NA;NA;2.68;42.41;49.2;46.24833333;4.51;53.5;35.42833333
BGM-0014;BGM-0014;5;7;3;5;3;6;2;7;3;1;1;5;0;5;3;7;5;1;2;1;2;1;1;2;3;5;2;1;3;3;1;5;110;5;6;1.5;16.98;5.46;3.112927312;29.74;2.636666667;25.82222222;61.57111111;4.666666667;1.946363636;12.08909091;12.55181818;9.115;4.13;49.97090909;32.552
BGM-0016;BGM-0016;5;5;5;5;3;7;1;3;1;1;1;3;1;1;3;3;5;1;4;1;1;0;NA;1;3;0;2;0;4;7;2;5;0;3;NA;NA;16.08;6.78;2.373022181;24.72;NA;NA;NA;NA;2.74;40.428;8.376;4.114;3.55;16.782;36.84333333
BGM-0020;BGM-0020;7;5;5;7;2;5;4;5;4;3;1;5;1;3;3;3;3;1;1;1;2;3;2;2;7;5;2;1;4;3;2;5;120;3;4;2.125;18.98;3.96;4.799702517;25.84;2.346666667;29.54166667;62.54833333;4.208333333;1.764666667;14.36866667;20.98733333;15.555;5.52;61.124;34.792
BGM-0025;BGM-0025;9;9;5;5;3;9;3;5;3;4;1;5;0;7;3;3;5;1;1;1;2;2;1;2;7;3;3;0;4;7;1;7;90;3;6;1;19.68;3.14;6.320254794;24.24;2.733333333;20.33333333;57.33333333;6;2.100666667;31.49;24.70733333;18.83142857;6.327;45.35666667;33.62066667
BGM-0028;BGM-0028;3;3;5;3;3;9;4;5;4;1;2;3;0;5;3;3;5;1;1;1;2;3;2;2;7;5;3;0;3;3;1;5;120;5;8;1.625;9.42;3.16;2.979888807;12.06;2.263333333;17.31666667;44.29666667;3.625;1.560909091;10.23909091;5.496363636;2.321;3.368;36.966;36.269
BGM-0031;BGM-0031;7;3;5;3;2;7;1;3;4;4;1;5;0;7;3;7;5;1;2;1;2;3;2;3;7;5;2;1;4;7;2;3;120;5;8;2.666666667;10.76;2.34;4.644083453;14.98;2.943333333;32.66666667;79.6;6.333333333;1.616666667;20.76;17.42333333;11.002;7.1525;42.49166667;32.975
BGM-0040;BGM-0040;7;1;5;3;2;6;3;3;4;1;1;5;1;5;7;3;5;1;4;1;3;1;2;2;7;5;2;0;3;3;1;5;90;3;8;2.142857143;18.84;6.82;2.762217994;30.7;3.523333333;26.41666667;64.24;5.666666667;2.058;23.869;22.858;17.01777778;6.023333333;46.471;34.095
BGM-0042;BGM-0042;5;2;5;3;3;3;2;3;4;1;1;7;0;7;3;7;5;1;1;1;2;2;1;2;7;3;2;0;3;7;3;5;50;3;8;1.6;15.94;5.16;3.091866355;28.22;1.53;20.88888889;47.51333333;4;1.634444444;13.39777778;4.466666667;1.60875;2.925714286;24.01777778;29.79875
BGM-0050;BGM-0050;3;1;3;3;2;8;1;3;2;2;1;5;1;5;3;3;5;1;3;1;3;2;1;4;7;5;2;0;4;3;2;5;90;3;8;2.428571429;17.08;4.98;3.431073698;29.04;2.27;31.75;58.92166667;4.041666667;1.932307692;19.69076923;25.06615385;19.06666667;7.1875;53.33538462;33.40769231
BGM-0053;BGM-0053;5;7;5;3;2;5;4;5;3;3;1;5;1;2;3;3;5;1;3;1;2;0;NA;2;NA;0;1;1;3;3;2;3;NA;1;NA;3;16.36;5.02;3.261975867;23.16;2.32;30.33333333;93.63333333;3.333333333;2.106;22.652;15.628;11.826;3.47;39.36;32.875
BGM-0054;BGM-0054;7;5;3;3;2;5;4;5;4;4;2;3;0;5;3;7;5;1;2;1;2;0;1;1;7;5;3;1;4;5;3;5;120;5;8;2.571428571;14.68;4.66;3.159751125;23.52;3.813333333;20.625;67.3325;4.166666667;1.850909091;22.66818182;10.96333333;4.694545455;7.263636364;32.94454545;32.73545455
BGM-0058;BGM-0058;9;9;7;3;3;7;2;7;1;4;2;5;0;4;7;3;5;1;1;1;3;1;2;2;3;5;3;0;3;3;3;5;90;3;8;2;21.74;3.44;6.327951681;30.64;1.96;32.55555555;66.14888889;4.222222222;2.569090909;33.37818182;38.54363636;32.528;6.1;50.97818182;32.97166667
