Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
3;2011-24-156;3;7;3;5;3;9;4;3;4;1;1;5;1;5;1;3;5;1;1;1;2;2;2;3;7;0;3;0;3;3;2;3;100;4;8;1.04;15.42;5;3.091467366;23.56;2.953333333;40.66666667;75.20333333;4;2.2896;19.3884;30.8544;26.79866667;5.034;61.3064;38.0756
4;2011-34-41;3;3;3;3;2;5;4;3;4;3;1;3;1;5;5;7;5;1;2;1;3;2;2;3;7;5;3;1;4;3;2;7;90;2;4;1.12;14.98;3.9;3.853508323;19.24;2.463333333;27.66666667;72.79333333;7;2.4296;28.93041667;40.74625;32.282;7.438;58.35666667;33.78208333
6;2011-34-64;7;7;3;5;2;5;4;5;4;1;1;5;1;5;7;3;5;1;2;1;3;2;1;3;7;5;3;0;4;3;2;3;110;2;4;1;19.56;4.96;3.947180015;25.92;2.65;32.33333333;67.43666667;5.666666667;2.4424;22.5312;32.8968;28.17333333;4.629333333;59.4152;34.16
7;2011-34-69;7;3;3;3;2;5;4;3;4;1;1;3;1;5;5;3;3;1;1;1;3;2;2;3;7;0;NA;1;3;3;1;7;105;2;4;1.04;13.04;3.3;3.980416667;18.14;3.233333333;30.66666667;63.92333333;5.333333333;2.402;22.7504;40.6036;36.068;6.074;63.8976;34.0332
102;Aipim-Brasil;7;3;3;5;2;8;1;5;1;1;1;5;1;2;7;7;5;1;2;1;3;2;1;3;3;3;3;0;3;3;1;3;90;2;NA;1;10.84;3.1;3.496470588;16.62;2.34;23;54.50333333;4.666666667;2.405;20.275;14.93;NA;NA;42.22;32.3
103;Aipim-Brasília;5;7;5;5;3;6;2;5;4;1;2;5;1;7;7;7;5;1;3;1;2;3;1;2;7;3;2;0;3;3;1;5;90;2;4;1.055555556;25.1;5.84;4.302870094;2.86;2.293333333;24.83333333;53.59166667;4.833333333;2.022105263;12.97684211;10.34315789;6.475;7.57;45.84473684;35.20055556
109;BGM-0004;3;5;5;3;3;7;2;3;1;1;1;5;1;5;3;3;5;1;2;1;1;0;1;2;3;5;3;0;4;3;2;3;0;5;8;3.142857143;16.02;5.96;2.694376424;23.96;3.153333333;26.80833333;54.43;5;1.803636364;27.38818182;11.67090909;5.751;5.083;36.00272727;37.14636364
110;BGM-0005;5;5;5;3;3;9;2;5;4;4;1;5;1;2;3;7;5;1;1;1;3;2;2;3;7;3;2;1;3;3;1;5;90;5;4;1.833333333;16.38;5.54;2.95553703;28.96;2.55;26.16666667;48.6225;2.416666667;1.689166667;15.425;6.776666667;3.800909091;3.385454545;33.48166667;35.16636364
111;BGM-0006;3;7;5;3;2;8;1;5;1;3;1;5;1;9;3;7;5;1;1;1;2;2;1;2;3;5;3;1;4;3;2;5;80;3;6;1.5;13.26;2;6.854232804;13.98;2.206666667;26.25;76.9175;4;1.633;13.471;17.905;11.81333333;6.896666667;57.731;32.717
112;BGM-0007;5;7;5;5;3;9;3;5;4;4;1;5;1;2;NA;3;5;1;1;1;2;3;NA;1;7;0;3;1;4;3;1;5;110;3;NA;NA;10.64;3.46;3.119011827;16.18;NA;NA;NA;NA;1.295;3.215;6.57;3.565;3.005;66.63;31.635
