Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
196;BGM-0120;9;5;5;5;3;8;2;5;4;4;2;3;0;5;3;7;5;1;1;1;2;0;1;2;7;5;2;1;3;3;1;7;90;3;8;2.333333333;20;5.4;3.709563543;27.94;1.326666667;26;58.69888889;4.666666667;2.447857143;40.85785714;36.94357143;34.12;5.735;48.62428571;33.08071429
197;BGM-0121;5;2;5;3;3;8;1;3;2;2;1;7;1;5;3;7;5;1;2;1;3;1;1;3;3;5;3;0;3;3;3;5;100;5;8;1.666666667;15.7;4.04;3.89033058;30.68;3.213333333;25.7;57.60888889;4.444444445;1.859230769;25.30846154;14.65076923;11.73888889;4.673333333;34.25846154;37.49076923
200;BGM-0124;5;3;5;5;3;8;3;5;1;1;1;5;1;5;3;7;5;1;1;1;2;2;2;3;3;5;3;0;4;3;3;5;90;3;8;1.285714286;15.7;4.98;3.163739648;28.36;2.766666667;26.575;60.10416667;4.666666667;1.664545455;13.88090909;19.22090909;13.915;4.356;58.86636364;34.33909091
207;BGM-0134;5;9;5;3;3;7;2;3;2;1;2;5;0;5;3;3;5;1;2;1;2;1;2;2;3;5;3;1;4;3;1;5;100;3;4;1.142857143;15.46;3.32;4.690661364;21.1;2.45;27.85;55.0225;5.125;2.17;22.15214286;21.08571429;14.55923077;6.133076923;47.45714286;36.87
208;BGM-0135;5;2;5;3;3;9;2;3;4;2;1;5;0;2;3;3;5;1;2;1;3;3;2;2;7;5;3;0;4;7;1;5;100;5;8;2;13.04;4.68;2.791912785;18.5;3.163333333;20.33333333;62.36;4;1.963846154;34.87;30.44538462;25.67333333;7.96875;46.73384615;35.45461538
210;BGM-0137;5;3;5;3;3;9;3;5;4;1;1;7;1;5;7;7;5;1;1;1;1;0;2;2;7;5;3;0;3;3;1;3;0;3;8;2.571428571;16.14;3.5;4.612912797;28.2;2.85;24.45833333;61.1675;3.958333333;1.75;15.00636364;11.63909091;7.882;3.181;36.90545455;32.485
212;BGM-0140;5;3;5;3;3;9;3;3;4;1;1;5;1;5;3;3;5;1;2;1;3;2;2;2;7;0;2;0;3;3;1;5;90;5;6;2.571428571;17.2;6.02;2.861694959;29.82;2.593333333;25.625;66.27333333;5.125;1.944166667;29.1625;21.6525;15.50636364;6.505;43.47416667;37.42666667
216;BGM-0146;7;7;3;5;3;9;3;7;4;1;1;5;1;5;3;3;5;1;1;1;2;0;NA;2;7;5;3;1;4;3;1;7;70;5;NA;NA;15.24;5.22;2.921577312;26.04;NA;NA;NA;NA;2.35;27.26666667;20.27166667;16.82;3.05;43.305;38.87833333
217;BGM-0148;7;5;3;5;3;6;2;5;4;2;1;5;0;5;3;3;5;1;1;1;2;2;1;2;7;5;3;0;3;3;1;5;90;5;8;1.8;19.18;6.04;3.178729935;31.06;3.016666667;20.88888889;61.37555556;3.777777778;2.045833333;25.1;14.10333333;10.37363636;4.264285714;35.885;36.79833333
222;BGM-0151;5;3;5;3;3;7;1;3;1;1;1;5;0;5;3;7;5;1;1;1;1;0;1;2;3;5;3;0;4;3;3;5;0;3;8;1.714285714;16.04;4.5;3.566648005;28.04;3.006666667;28;56.67916667;4.041666667;1.963636364;26.56363636;14.62272727;8.636;6.481;34.94363636;31.95909091
223;BGM-0152;3;7;3;3;3;6;4;3;4;1;1;5;1;5;5;3;3;1;2;1;3;3;1;3;7;5;3;1;4;3;1;3;90;5;6;1.833333333;15.08;5.4;2.797443701;23.78;2.398333333;26.79166667;63.22291667;4.208333333;1.875454545;19.54272727;23.29363636;19.31;4.41;49.61181818;33.26181818
230;BGM-0158;7;7;5;3;3;7;1;5;3;1;1;5;0;5;3;3;5;1;1;1;3;1;2;2;7;5;2;1;4;7;1;3;60;3;8;1.4;17.3;4.54;3.815089172;23.36;3.113333333;17.88888889;56.12;2.777777778;2.09875;15.5125;4.32375;1.767142857;2.241666667;29.5825;30.984
237;BGM-0164;7;5;5;3;3;6;2;3;3;1;1;5;1;5;3;7;5;1;1;1;1;0;2;2;7;5;2;0;4;3;2;5;0;5;4;1.666666667;17.78;4.82;3.686520842;26.46;2.953333333;19.95833333;61.81416667;5.75;1.815238095;23.94;21.6347619;14.9685;8.024375;47.47857143;34.192
238;BGM-0165;9;3;5;3;3;6;3;3;4;1;1;5;0;5;7;3;5;1;1;1;3;3;2;3;7;5;3;1;3;3;2;5;90;3;6;1;17.74;4.92;3.631254719;29.12;2.206666667;32.66666667;45.16;7.666666667;2.4;27.71166667;33.86333333;31.565;9.65;55.79333333;41.325
241;BGM-0168;5;3;5;3;2;5;4;5;4;1;1;5;1;2;3;7;5;1;1;1;1;0;2;2;7;5;2;0;4;3;2;3;0;3;8;2.285714286;15.68;6.68;2.347954818;28.74;4.01;27.79166667;75.55916667;2.791666667;1.759230769;18.15153846;17.41;14.1025;3.275;47.68769231;33.61153846
