Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;Vigor;RF;NMa;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
155;BGM-0093;7;1;5;3;3;9;3;5;3;1;1;5;1;5;3;3;5;1;2;1;2;3;1;2;7;3;3;1;4;3;1;5;90;16.3;5.38;3.035190014;23.68;3.046666667;31;64.08;6.5277525525607;2.15407598529207;2.17295982173407;9.98850693365266;5.07374373744167;3.74898664846254;8.14307533823201;34.7377271203617;33.483169272901;31.6349649419697;49.3357774607816;2.10867552989944
158;BGM-0097;5;2;5;3;3;7;1;5;1;1;1;5;1;4;3;3;5;1;1;1;1;1;1;2;3;3;3;0;3;7;2;5;0;15.32;3.48;4.425292398;24.08;2.186666667;37.33333333;54.17333333;6.24535409000018;2.15407598529207;2.05804315090305;9.43083449124786;4.94090750818523;2.48650149451605;7.11875968627076;34.3625911511322;25.0043115120802;29.7804125672003;46.0661111386417;2.18936794991547
162;BGM-0104;5;7;3;5;3;9;3;5;4;1;1;5;0;5;3;3;5;1;1;1;2;1;2;2;7;5;3;0;4;7;1;7;90;17.48;5.56;3.147972787;33.5;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;2.06925494828223;2.05804315090305;8.79174535833264;4.03559442651072;3.24510624943071;6.61075793257678;35.0300955471143;22.5255889571403;15.2461334436968;57.7218313323294;1.80118085353362
165;BGM-0113;3;7;5;3;3;8;3;5;4;1;1;5;1;5;3;3;5;1;2;1;3;1;2;1;7;3;3;0;3;3;3;5;90;13;4.3;3.02425518;24.16;2.85;26;51.55333333;6.18753892481935;2.06925494828223;2.0161766555979;8.70698938614535;4.03559442651072;3.35249484955825;3.98599804205898;32.3845252363718;6.49221521600634;14.9237196432186;28.845217527775;1.96645894266485
171;BGM-0117;5;7;5;3;3;9;3;5;4;3;1;5;1;5;3;7;5;1;2;1;3;1;2;2;7;5;2;0;3;3;1;5;100;13.24;3.9;3.400167735;21.92;2.43;23.66666667;50.94;3.85881650225653;2.36772230233486;1.96559944082915;8.96662995205844;2.65017903174768;4.03341757689227;4.73843983506691;35.8997778551991;12.3868266722151;17.5356681188055;39.5164446854262;1.9614507000133
172;BGM-0119;5;3;5;3;3;8;2;3;4;2;1;7;0;5;3;3;5;1;2;1;2;1;2;2;7;5;3;0;4;3;3;5;100;16.24;3.9;4.172413387;29.34;3.136666667;26.08333333;66.23666667;7.92154278878565;1.93055768132891;2.19947703516212;8.96662995205844;3.63485894902704;3.62461258414831;5.13574277900339;36.9923085839775;14.5589702477853;21.0615784106671;42.9074005989626;1.79833472298578
174;BGM-0121;5;2;5;3;3;8;1;3;2;2;1;7;1;5;3;7;5;1;2;1;3;1;1;3;3;5;3;0;3;3;3;5;100;15.7;4.04;3.89033058;30.68;3.213333333;25.7;57.60888889;7.85020677948608;1.91667497201435;2.10930031389099;8.96662995205844;4.36571294853862;3.83308083797586;5.95421901743735;36.6444402979392;17.1485761880032;25.9198278805631;35.4781688269619;1.88445328797238
175;BGM-0122;5;5;5;3;3;7;2;5;2;2;3;5;1;5;7;7;5;1;2;1;2;3;1;2;3;3;2;1;4;3;2;5;90;13.42;3.88;3.466241852;18.2;3.436666667;26.2;43.25555555;7.9520131512275;1.80738381676286;1.86147545983735;8.96662995205844;3.35101602317227;3.06834272251998;4.82701769096121;36.2522877796335;9.28720810937365;10.88918687588;46.1011010685855;1.86778846502545
178;BGM-0126;5;7;5;3;3;8;1;5;1;1;1;7;1;5;3;7;5;1;2;1;2;1;2;2;3;5;3;0;4;3;1;5;100;16.1;2;8.122069378;25.38;2.47;25.20583333;54.555;7.99241712930993;1.91667497201435;2.11674988201759;8.96662995205844;4.87512003423072;3.88075149608206;5.06317010399549;34.5681594534856;16.1393302997901;19.3425392691032;47.1142843682804;1.73844913168813
179;BGM-0128;5;5;5;3;3;6;2;3;3;1;1;5;0;2;3;3;5;1;2;1;3;3;2;2;7;5;3;0;3;3;1;5;120;18.86;5.52;3.421307239;26.66;2.583333333;41.66666667;69.84;4.61585055665509;2.15407598529207;2.05804315090305;9.40262896538658;3.93830798853561;4.26606241550895;6.84890376125332;34.7190103443805;25.1076259425344;20.6148676295915;52.3944636167956;2.13613239432966
