Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
106;BGM-0029;3;3;5;3;3;6;3;3;4;4;1;5;1;5;3;3;5;1;2;1;2;2;1;1;7;5;2;0;4;3;2;3;90;17.02;6.06;2.81129848;26.68;4.116666667;23.75;71.69166667;6.02387265172664;3.34595096035922;3.97146083142108;6.27589809284955;34.2648426688946;18.6338428278075;29.0293320650532;38.2468279527359;1.93325086692329
111;BGM-0035;5;1;5;3;2;7;1;3;1;1;1;5;1;5;3;7;5;1;2;1;2;0;2;2;3;0;3;0;4;3;3;5;100;12.64;4;3.162242826;19.22;2.783333333;27.08888889;53.11555555;7.85020677948608;4.87512003423072;3.77939893066585;6.25043782936294;34.9289683074742;24.6606594359454;25.7482070929888;46.7055447384426;1.80617877166847
112;BGM-0036;5;5;5;3;3;9;3;5;4;3;1;5;1;5;3;7;5;1;2;1;3;2;1;2;7;5;3;0;4;3;3;7;90;16.46;4.68;3.518330999;24.76;2.97;34.75;65.2175;6.01662321886578;3.82955067997108;3.73588753216856;6.62692488601953;37.5612146251434;19.2082676178514;22.4448723030974;45.3088745897119;2.01365880331486
120;BGM-0046;5;5;5;3;3;6;1;5;1;1;1;5;1;5;3;7;5;1;1;1;3;2;2;1;3;5;3;1;4;3;2;5;100;11.82;3.94;2.99356827;14.8;2.46;30.45833333;68.73583333;7.28656959881236;4.73176043355527;3.52824361154827;7.35628688109209;33.9939767845875;28.4840573463071;22.763456736706;54.3224283530084;2.19029534314673
128;BGM-0056;3;3;5;3;3;7;1;3;1;1;1;5;0;5;3;3;5;1;1;1;1;0;2;2;3;5;3;0;4;3;3;5;0;12.2;3.22;3.79625;16.82;3.39;35.97916667;73.11833333;7.27866053785324;4.69059957787702;2.42077776689691;7.59108212804462;34.315104922163;30.2515482680759;23.6639955632495;54.3269004048465;2.05948012219348
129;BGM-0057;5;3;5;3;2;7;1;3;1;2;1;5;0;2;3;3;5;1;3;1;3;0;2;2;3;5;3;0;4;7;2;5;90;16.54;5.56;2.974354487;26;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.24510624943071;7.07693486427905;32.6828700918003;27.0819054236395;22.2596828616696;53.4751414146698;2.05585220897785
131;BGM-0060;5;5;5;5;3;6;2;7;2;2;3;3;1;5;3;3;5;1;2;1;3;2;1;1;3;5;3;0;4;3;2;3;100;11.8;2.96;4.127664847;16.94;1.87;15.29166667;36.93083333;7.13290310834388;3.42475458280573;3.73026793695396;4.43970206681347;36.1124268758546;13.99854439838;15.857063841852;38.3337719913475;2.04938224532388
151;BGM-0088;5;3;5;3;2;3;4;3;3;1;1;7;1;5;3;7;5;1;1;1;2;0;1;2;7;5;2;0;4;3;2;3;40;12.86;3.58;3.591442577;16.62;2.556666667;29.0625;56.0275;4.82718395519505;4.67721934848065;3.45206549512988;5.58754923595732;33.6978302532957;19.5251864243863;18.5052295166827;50.3431623998903;1.90924034783757
162;BGM-0104;5;7;3;5;3;9;3;5;4;1;1;5;0;5;3;3;5;1;1;1;2;1;2;2;7;5;3;0;4;7;1;7;90;17.48;5.56;3.147972787;33.5;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.24510624943071;6.61075793257678;35.0300955471143;22.5255889571403;15.2461334436968;57.7218313323294;1.80118085353362
163;BGM-0106;3;1;5;3;3;6;3;3;3;2;1;5;1;5;3;7;5;1;1;1;2;3;2;2;7;5;3;1;4;3;1;5;90;18.88;5.82;3.24847518;28.8;2.78;25.55555556;61.71777778;7.85020677948608;4.17934810561919;3.27472360281713;6.45722817546633;36.800912289921;21.8147459135155;17.8433460102701;57.0872530971627;1.86932807936145
173;BGM-0120;9;5;5;5;3;8;2;5;4;4;2;3;0;5;3;7;5;1;1;1;2;0;1;2;7;5;2;1;3;3;1;7;90;20;5.4;3.709563543;27.94;1.326666667;26;58.69888889;7.87590830441218;5.01110473493726;3.43186554818912;7.09548194392099;31.9329913719846;29.4724771636306;31.4145330819674;50.2695526432326;2.19953954515172
174;BGM-0121;5;2;5;3;3;8;1;3;2;2;1;7;1;5;3;7;5;1;2;1;3;1;1;3;3;5;3;0;3;3;3;5;100;15.7;4.04;3.89033058;30.68;3.213333333;25.7;57.60888889;7.85020677948608;4.36571294853862;3.83308083797586;5.95421901743735;36.6444402979392;17.1485761880032;25.9198278805631;35.4781688269619;1.88445328797238
178;BGM-0126;5;7;5;3;3;8;1;5;1;1;1;7;1;5;3;7;5;1;2;1;2;1;2;2;3;5;3;0;4;3;1;5;100;16.1;2;8.122069378;25.38;2.47;25.20583333;54.555;7.99241712930993;4.87512003423072;3.88075149608206;5.06317010399549;34.5681594534856;16.1393302997901;19.3425392691032;47.1142843682804;1.73844913168813
195;BGM-0149;9;3;5;3;2;5;4;3;4;4;2;5;0;5;3;3;3;1;3;2;2;1;2;2;7;5;3;1;3;7;1;5;90;14.24;3.76;3.78464657;21.18;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;2.66078078380946;6.91202035631121;33.5548608765888;25.1488281747524;30.4115632466382;47.9525391104318;2.15450017012055
210;BGM-0162;3;2;3;3;3;6;2;3;4;1;1;5;1;5;3;3;3;1;1;1;2;2;2;3;7;0;3;0;3;3;2;5;90;11.08;2.66;4.163756614;13.96;3.135;24.75;64.62916667;7.98510760337044;4.24997352863428;3.07510943320613;6.10756994394946;36.0063896678455;20.5975617476898;26.4014842936825;42.4032242300322;2.12831634756718
223;BGM-0175;5;5;5;3;2;6;3;3;2;1;1;7;1;5;3;3;5;1;2;1;1;2;2;2;7;3;3;0;3;7;2;5;100;17.16;4.96;3.469235916;31.56;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.24510624943071;6.34302164749317;31.4968363004316;23.7212453760478;20.960240083426;51.2162164453775;1.93172804990035
236;BGM-0190;9;5;5;3;3;9;3;3;4;1;1;5;0;5;3;7;5;1;2;1;2;2;2;2;7;5;3;1;3;5;2;3;90;16.66;4.66;3.574214707;22.66;1.75;33.44444444;63.17666666;6.95856397498787;4.41211562989746;3.92041733229333;5.4980812556722;35.2071169774818;18.6020426816455;25.982901135728;40.9941162888948;2.11082531763941
238;BGM-0199;5;5;5;5;3;6;2;5;4;1;1;3;1;5;3;7;5;1;2;1;3;2;2;2;7;5;3;0;4;3;2;3;100;9.36;2.78;3.379316138;14.84;2.496666667;27.20833333;59.57833333;7.98313728751899;2.82355563480583;3.56174518250882;4.38857749104665;34.3026597890562;10.0833312503008;17.1110594459644;38.1792991405127;1.78179160657376
241;BGM-0204;7;3;5;3;2;6;2;3;4;4;2;3;0;5;3;3;5;1;1;1;3;1;1;2;7;5;3;0;3;3;1;5;90;14.84;4.38;3.384081633;19;1.82;22;58.03;6.15361717336118;6.32402985054562;3.50888742948902;4.54115604838717;33.2553285177617;18.119227052644;16.3453099394508;51.1157810730206;1.68578331965822
244;BGM-0207;7;1;3;3;3;6;2;3;4;4;1;5;1;4;3;3;5;1;3;1;2;2;2;2;7;3;3;0;4;7;1;7;80;16.72;4.6;3.638339921;22.48;2.06;20.33333333;51.19;3.93494150507782;4.29107448619011;2.39164584623107;4.63126461821484;33.2055782042215;14.1782157708914;26.5889586957616;33.7178617836061;2.40143460761456
257;BGM-0222;5;3;5;3;3;6;2;5;3;1;1;5;1;5;3;7;5;1;2;1;2;1;2;3;3;3;3;0;4;3;2;5;80;8.14;2.74;2.978953704;10.48;2.93;26.04166667;59.5775;2.94033151913364;4.16245278205094;3.48200895968474;5.9412105344519;34.2720339075201;16.5585044483872;17.5255066287653;45.7349648000806;1.97538819686977
259;BGM-0232;7;9;5;9;2;5;4;7;4;2;1;5;1;2;3;7;5;1;1;1;2;1;2;2;7;0;3;0;3;3;1;5;100;9.62;3.42;2.828188907;10.84;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;2.94707845209868;5.78053784805918;37.6307727790013;16.3485250188706;31.7014653514336;37.3529876842515;2.39971817212798
260;BGM-0235;5;7;5;5;3;6;2;5;4;3;1;5;1;5;3;3;5;1;1;1;2;0;2;2;7;0;3;0;3;3;1;5;110;11.98;2.82;4.278665075;17.54;2.426666667;33.625;65.1525;6.07018718984737;4.63608871978684;2.73854496883997;6.92806723250779;34.5929335127366;25.5600772754582;23.4558010241744;50.6450179761366;2.241680601057
305;BGM-0297;7;1;5;3;3;7;2;3;3;1;1;5;1;5;3;3;5;1;1;1;1;0;1;1;7;3;3;0;3;3;1;5;0;16.72;5.12;3.266321549;22.82;1.81;20.33333333;56.04;3.01752485315157;3.87725194932763;2.29849819056585;4.67121671479078;34.2879216136293;12.9066521871613;21.1448057985899;39.0866404031294;2.01482699863047
317;BGM-0318;5;9;5;3;3;9;3;3;4;1;1;5;1;5;3;7;5;1;2;1;2;2;2;2;7;5;3;0;3;3;1;5;100;12.26;2.54;4.835962963;19.18;2.96;25.5;62.89333333;7.77784216764392;4.90022671056694;3.39271449677152;5.63126005491731;35.3929475911944;21.3350697138585;20.6746821401084;47.5418089914234;2.13401478224235
335;BGM-0349;5;3;5;5;3;6;3;5;3;3;1;5;1;5;3;7;5;1;1;1;3;2;2;2;7;5;3;1;4;3;2;5;90;12.58;4.04;3.117088454;19.38;2.273333333;26.58333333;50.03916667;4.32136236933922;3.55838084824469;2.88034110932519;5.5152676313178;33.8395136440664;15.1472176166922;15.7192514801836;49.3809077673158;1.93414933432095
