Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
294;BGM-0282;5;7;5;5;3;6;2;5;4;1;2;5;1;9;3;7;5;1;4;1;1;0;1;3;7;5;3;0;3;3;1;5;0;15.48;2.74;5.737767517;19.12;3.03;25.66666667;67.45333333;6.40342325968667;3.77822977454743;2.94213168661821;4.66739340917802;34.4109972545972;13.2862623163212;16.4509467337662;44.6159749984412;1.99835015809022
303;BGM-0294;5;1;5;3;2;3;4;3;4;1;1;3;0;5;3;3;5;1;2;1;3;2;2;2;7;5;2;0;4;3;2;5;90;14.34;3.44;4.189697232;19.44;1.65;20.29166667;49.03333333;3.52508755488252;3.352344626702;3.73150053557762;4.75075673132429;34.0031020315232;11.4033193861902;14.0219800761673;43.1436475087813;1.65069945880202
330;BGM-0340;5;3;5;3;3;3;4;5;3;3;1;5;1;2;3;3;5;1;1;1;2;1;2;2;7;5;3;0;4;3;2;5;70;10.68;3.22;3.354536914;19.22;1.266666667;27.36111111;45.29027778;8.0537223844826;4.01190634461825;3.01118911002309;4.75677355648772;33.7826999462829;13.1621376615958;17.9680112448668;40.5019969926559;1.91773172518681
338;BGM-0357;7;7;5;5;2;5;2;5;4;1;1;3;1;2;3;3;3;2;1;1;2;3;2;2;7;3;2;1;3;3;2;3;100;17.52;5.84;3.001028433;20.92;2.46;30.16666667;74.71666667;3.66162042865286;4.0745794809495;3.9218979566768;4.83715187554043;32.7979049055032;17.1155545269936;13.0067181675215;54.8535910856932;1.69287311405185
343;BGM-0362;5;3;5;3;2;9;4;3;3;2;3;5;1;5;3;7;5;1;1;1;3;2;2;3;7;5;3;1;3;3;3;5;70;14.82;2.92;5.171996644;20.1;2.113333333;21.54166667;56.255;8.06786069375194;3.79489315626374;3.62042066030134;5.41206209662576;36.130692138064;14.8894914790435;15.4375077180862;46.0958506468947;1.82713533492935
346;BGM-0366;5;5;5;3;3;9;3;3;4;1;1;5;0;5;3;7;5;1;1;1;2;1;2;2;7;5;3;0;4;3;2;5;90;10.1;2.66;3.792060564;12.02;2.966666667;25.08333333;62.0325;8.06786069375194;4.09550148544206;3.85213415123855;6.3302353698708;34.6756057461843;21.2937249773426;25.0477248387516;44.4407166933326;1.92818753577937
356;BGM-0383;5;7;5;3;3;6;3;5;4;2;1;3;1;2;3;3;5;1;2;1;3;2;2;3;7;3;3;1;4;7;1;5;120;10.34;3.72;2.779532164;10.8;3.113333333;22.66666667;54.17333333;3.80965615424977;4.03559442651072;4.28275267937663;3.8213909165765;36.4953408925894;9.98632520720511;11.2529633750229;49.780373362636;1.64592692627692
376;BGM-0413;3;5;5;5;3;9;4;5;3;1;1;5;1;5;3;3;5;1;2;1;2;3;2;1;7;5;2;1;4;3;3;7;90;9.9;2.84;3.494573141;12.8;2.246666667;27.20833333;66.05333333;7.43288750377864;2.67671299338485;3.38972617240017;4.45681626497276;34.5328810346596;11.9402156144572;14.9128734099536;42.0953837056863;1.87114959678663
383;BGM-0423;3;5;5;3;3;9;3;3;4;1;1;5;1;5;3;7;5;1;1;1;3;1;2;2;7;3;3;0;3;3;3;5;90;17.68;5.32;3.350119886;25.02;2.796666667;24.83333333;59.83916667;3.75111916977714;3.12972933151928;3.65457984090111;5.63091208778065;31.9555900576479;18.462844794577;18.5725666643258;46.1183723011487;1.79285191479866
417;BGM-0470;5;2;5;3;3;9;3;3;4;2;3;5;0;5;1;3;5;1;2;1;4;2;2;2;7;5;3;0;4;3;1;5;100;11.32;3.32;3.420352399;18.64;3.64;18.875;57.14333333;7.9631187153582;2.97543486859111;3.77581825602403;5.0547255194712;38.2350083891272;13.7721146547569;19.7380896074882;36.4845983591795;1.94159501577947
