Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
94;BGM-0017;7;7;5;3;1;5;4;3;1;1;1;5;1;3;3;7;5;1;1;1;1;0;2;1;3;5;2;0;4;3;1;5;0;17.5;3.26;5.469254386;25;2.233333333;32;58.63222222;4.5888636138025;4.61395952152139;3.28868390351963;5.02867033570322;34.5240502955543;14.0880561570954;12.2509402329987;55.3485960996878;1.58487370186636
97;BGM-0020;7;5;5;7;2;5;4;5;4;3;1;5;1;3;3;3;3;1;1;1;2;3;2;2;7;5;2;1;4;3;2;5;120;18.98;3.96;4.799702517;25.84;2.346666667;29.54166667;62.54833333;4.81835150066494;4.40673141642714;3.60707377706915;5.9408865754979;35.310605263724;20.1918782180786;16.4854865158848;57.7304486986589;1.79717029583411
100;BGM-0022-TB;7;5;5;5;2;6;4;5;4;3;1;3;1;4;3;7;5;1;1;1;2;3;1;2;7;5;2;0;3;3;1;5;90;13.26;3.98;3.335392535;18.46;2.75;32.77777778;62.88777778;4.61724968312554;3.40930013005686;3.73020186310042;6.18975102283357;36.8343488804279;13.2262595728159;15.0342772450913;47.728391261537;1.67290975654313
117;BGM-0043;5;5;5;3;3;7;1;3;3;1;1;5;1;5;3;7;5;1;1;1;2;1;2;2;7;5;3;1;4;5;1;7;90;15.5;4.98;3.115268542;27.28;2.44;40.66666667;53.53;4.28434784825581;4.64417615127636;3.21730391270142;6.21253336602479;31.7158581151295;23.8288911584818;19.805060394423;50.3912395964113;1.98681200707438
159;BGM-0098;7;7;3;5;2;6;1;5;3;1;1;5;1;5;3;3;5;1;1;1;2;2;2;2;7;5;3;0;4;3;2;5;100;14.88;5.44;2.7373181;32.36;3.333333333;20.66666667;72.54333333;6.18753892481935;5.7272311879349;3.09916396955279;4.8618885867095;35.8149129016433;14.6594529720872;26.484764244377;36.0411633958097;2.08242477872087
164;BGM-0111;5;5;5;3;3;6;3;5;4;2;1;5;1;5;3;3;5;1;2;1;2;2;2;1;7;3;3;0;4;3;1;3;100;15.54;2.52;6.193107395;20.48;2.546666667;21.33333333;55.96666667;6.18753892481935;4.03559442651072;3.22282428637716;6.23616597837418;33.4744188891979;23.0426191929579;20.826291472291;46.7425950238963;1.8618735373687
172;BGM-0119;5;3;5;3;3;8;2;3;4;2;1;7;0;5;3;3;5;1;2;1;2;1;2;2;7;5;3;0;4;3;3;5;100;16.24;3.9;4.172413387;29.34;3.136666667;26.08333333;66.23666667;7.92154278878565;3.63485894902704;3.62461258414831;5.13574277900339;36.9923085839775;14.5589702477853;21.0615784106671;42.9074005989626;1.79833472298578
190;BGM-0143;7;5;3;5;3;6;2;5;4;1;1;5;1;2;3;3;5;1;1;1;1;0;2;3;7;5;2;0;3;3;1;5;0;16.64;6.06;2.747237019;29.62;1.976666667;23.33333333;56.15;6.89363505346206;3.76811362563213;3.30471310190585;4.11073153833406;36.410237053427;16.443824206605;27.9403191429063;32.1164953246675;1.90683810868596
230;BGM-0184;7;5;5;3;2;7;1;5;4;1;1;5;1;5;3;3;5;1;4;1;1;0;1;1;3;5;3;0;3;5;3;5;0;15.36;3.02;5.098921304;24.58;1.536666667;25.44444444;65.77333333;7.83510652682644;5.2746375736013;2.3324518235563;6.75542849817659;35.6017456934086;23.3253639047964;19.7728941865922;55.0341502192824;2.02125809071939
235;BGM-0189;5;3;3;5;3;6;2;3;4;2;1;3;1;5;3;3;5;1;1;1;2;2;2;2;7;3;3;0;4;7;1;5;90;16.62;4.98;3.338036953;25.02;1.766666667;17;45.91666667;4.3357696494834;3.37137215584441;3.58594892586816;6.73353388692046;37.4257122542611;20.9511617708969;21.6451069860455;44.7154328856835;2.05656300285045
