Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;Vigor;RF;NMa;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
182;BGM-0132;7;9;9;9;3;9;3;7;4;2;3;3;0;5;7;7;5;1;1;1;2;2;2;1;7;5;3;0;4;3;1;5;80;17.12;2.94;5.864316747;21.88;2.593333333;19.05833333;57.12166667;7.95981622166115;2.61250584160839;1.8173798492064;8.96662995205844;4.99171917611343;3.16787198080647;5.12134182694479;31.1075858557868;16.007715495862;18.0722683737705;47.2863106373169;2.06796978657497
184;BGM-0134;5;9;5;3;3;7;2;3;2;1;2;5;0;5;3;3;5;1;2;1;2;1;2;2;3;5;3;1;4;3;1;5;100;15.46;3.32;4.690661364;21.1;2.45;27.85;55.0225;3.94119169843788;2.13152363448869;1.72540530100091;8.96662995205844;5.17305917705686;2.82029154637506;6.31125935110571;37.3242101339876;19.5384700356289;23.3931257203961;44.4268636268417;2.18521298502553
194;BGM-0148;7;5;3;5;3;6;2;5;4;2;1;5;0;5;3;3;5;1;1;1;2;2;1;2;7;5;3;0;3;3;1;5;90;19.18;6.04;3.178729935;31.06;3.016666667;20.88888889;61.37555556;7.83510652682644;2.06925494828223;2.30144949296191;8.71121444563831;3.68621319811727;3.23009465430115;5.03475387918269;35.1339278657197;14.624619964732;19.9551412808001;39.3882699799672;1.82174391996013
196;BGM-0150;5;3;3;3;3;9;4;3;4;2;1;5;1;5;3;3;3;1;2;1;2;2;1;3;7;3;3;0;3;3;2;5;115;12.76;4.3;2.974359577;20.36;2.153333333;30.85416667;56.38416667;7.33222450883483;2.4109404948054;2.22835532774685;8.96662995205844;3.95178555922934;3.28716127231796;5.68765932208267;34.9934549394629;19.3772093295734;23.0343528368955;46.2400611189342;1.96979246997353
214;BGM-0164;7;5;5;3;3;6;2;3;3;1;1;5;1;5;3;7;5;1;1;1;1;0;2;2;7;5;2;0;4;3;2;5;0;17.78;4.82;3.686520842;26.46;2.953333333;19.95833333;61.81416667;4.12627244213168;2.03744386909673;2.04440623133586;8.68434146577376;4.6613335615808;3.6473182023191;5.97606692438447;35.2810431910515;18.1640977594113;21.2210190963106;46.8914436823691;1.84572036635057
217;BGM-0167;3;7;5;5;3;6;2;5;4;1;1;7;1;5;3;7;5;1;2;1;1;0;2;3;7;5;3;0;4;3;2;3;0;19.06;4.9;3.890843137;29.74;3.416666667;30.04166667;59.31916667;3.86045969055467;2.13152363448869;2.25180171594155;8.96662995205844;3.98619186339144;2.50685804250302;6.81828790291997;34.7332856044388;26.1122002867795;28.5288311302514;42.8739229185422;2.30062452589257
226;BGM-0179;3;2;5;3;3;6;2;3;3;1;1;5;1;7;3;3;5;1;1;1;1;2;2;2;7;5;3;0;4;3;1;5;90;16.5;4.8;3.450886706;28.34;2.64;29.70833333;65.20416667;6.01662321886578;1.93975153203081;2.32122246248878;9.55883701880466;3.94632344744613;3.25535883090787;5.37346513760271;34.7607863585063;16.9270622149416;22.06493573508;44.6675339916838;1.8601416863039
227;BGM-0181;3;9;5;5;3;7;2;5;1;1;1;5;1;5;3;7;5;1;1;1;1;0;2;3;3;3;2;0;4;5;2;5;0;15.36;4.4;3.47980564;24.58;2.63;29.66666667;44.08333333;6.18753892481935;1.96511841005039;1.9094803841291;8.96662995205844;4.03559442651072;3.1939265570467;3.89201997699265;30.3254171961315;10.5038391975502;18.0135946527151;33.9927750244183;1.71808971427507
231;BGM-0185;3;7;5;5;3;6;2;5;3;1;1;5;1;5;3;7;5;1;2;1;2;2;2;1;7;5;3;0;3;3;3;5;120;22.46;5.84;3.84890838;33;2.986666667;27.70833333;70.75583333;3.10312068406044;2.40228303105634;2.25180171594155;8.96662995205844;3.95369702057168;3.69517931972456;7.41785770421581;33.0489630066075;24.2281426286572;25.7685397240881;43.971628818732;1.9429937454462
238;BGM-0199;5;5;5;5;3;6;2;5;4;1;1;3;1;5;3;7;5;1;2;1;3;2;2;2;7;5;3;0;4;3;2;3;100;9.36;2.78;3.379316138;14.84;2.496666667;27.20833333;59.57833333;7.98313728751899;1.63724494429593;1.65160308153814;8.96662995205844;2.82355563480583;3.56174518250882;4.38857749104665;34.3026597890562;10.0833312503008;17.1110594459644;38.1792991405127;1.78179160657376
239;BGM-0201;7;3;5;3;2;5;4;5;4;1;2;3;0;5;3;3;5;1;1;1;3;2;1;2;7;5;3;1;3;3;1;5;90;16.62;5.12;3.237638741;26.04;1.44;33;55.05333333;4.29879256070226;2.08414465617035;2.05804315090305;9.78250388781368;3.98163019000195;2.67943206304325;4.7312847747533;32.3324637908927;16.129379641905;14.3068611143979;49.0920535636881;1.93948473633681
243;BGM-0206;7;1;5;3;1;5;4;3;4;2;1;5;1;5;3;3;5;1;1;1;2;0;2;2;7;0;3;0;3;7;1;3;80;15.72;4.1;3.835083077;21.24;2.94;20.66666667;58.57222222;7.83510652682644;2.06925494828223;2.01857268737888;8.67850505554576;3.72830083329962;3.68039715784347;3.93690243966693;32.6753880652753;9.13126419442724;14.935513664744;37.4793115331942;1.62074994712086
245;BGM-0208;5;7;5;5;3;9;3;5;3;1;1;5;1;2;3;3;5;1;4;1;1;1;2;2;7;5;2;0;3;3;1;3;0;16.68;5.38;3.104136537;25.08;2.86;22.875;65.14166667;7.97510675976724;2.29299187580485;2.25180171594155;8.96662995205844;3.79122280647283;3.48131058205829;5.81116380371334;34.8220074177273;19.6786076001336;23.7361622925141;43.8159796684029;1.98777937806266
265;BGM-0240;5;7;5;3;3;6;1;5;1;1;1;5;1;5;3;7;5;1;1;1;2;1;2;1;3;5;3;0;4;3;3;5;100;13.92;3.16;4.401965384;14.02;3.803333333;25.75;71.83166667;7.77784216764392;2.29299187580485;2.06785261953056;8.96662995205844;4.85208385147119;3.66727440238365;6.11102582045805;34.4002611334903;20.3872775667387;15.8400773538716;55.8032726959653;1.7878130101136
