Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
2019g-08-18;3;7;3;3;2;5;4;3;4;3;1;5;1;5;1;3;3;1;1;1;2;2;1;3;7;5;3;0;3;3;2;3;105;NA;6;1;18.68;4.84;3.87006079;18.88;2.033333333;26.66666667;52.95;4;2.19;23.69;35.83;29.66;6.17;60.2;34.74
2019g-08-19;3;7;3;7;3;4;2;3;4;3;1;5;1;5;3;3;3;1;1;1;1;0;2;3;7;3;3;0;3;NA;1;5;0;NA;3;3;13.26;3.74;3.609206349;16.84;2.403333333;27.66666667;49.06666667;5;2.1;16.53;19.08;10.33;8.75;53.59;28.52
2019g-08-20;5;3;3;3;3;8;2;3;4;3;2;5;1;5;3;3;3;1;1;1;2;2;1;3;7;0;2;0;3;3;1;3;105;NA;4;2;17.02;4.78;3.563736868;25.72;2.313333333;22;64.16333333;3.333333333;2.315;24.39;34.355;28.49;5.86;59.35;33.645
2019g-08-21;3;5;3;3;3;6;2;3;4;4;1;3;1;5;7;3;3;1;1;1;2;2;2;3;7;3;3;0;3;3;2;5;105;NA;4;1;11.96;2.8;4.286893268;13.62;2.026666667;41.66666667;59.89666667;5;2.4;26.62;17.75;14.2;3.55;40;33.38
2019g-08-22;5;2;3;3;2;9;4;3;4;1;1;5;1;5;7;7;5;1;4;1;1;0;2;3;7;5;3;0;3;3;2;5;0;NA;8;1;19.28;3.78;5.115124576;24.62;1.893333333;15.33333333;50.16;5.666666667;2.67;46.63;49.25;60.65;8.43;51.37;34.07
2019g-08-23;3;7;3;5;2;5;2;3;4;1;2;5;1;5;7;3;3;1;1;1;3;2;2;3;7;3;3;0;3;3;1;5;105;NA;4;1;17.58;4.7;3.747502227;23.34;2.576666667;22;61.64;4.333333333;2.37;18.315;23.355;22.38;0.98;61.77;33.17
2019g-08-24;3;5;5;3;3;9;2;3;4;1;1;3;1;4;1;7;3;1;1;1;2;2;2;3;3;0;3;0;4;7;2;3;95;NA;4;5;15.62;2.62;6.020794212;16.3;2.42;29.33333333;58.38333333;3;2.06;2.92;37.72;34.25;3.47;92.82;27.59
2019g-08-25;5;5;3;3;3;9;4;3;4;1;1;3;1;4;7;7;5;1;1;1;2;2;2;3;7;0;1;0;3;3;1;5;110;NA;4;3;16.2;2.26;7.323661146;16.86;2.42;28.66666667;63.22;4.666666667;1.35;31.71;64.35;94.21;16.44;66.99;27.67
2019g-08-27;3;3;3;3;2;3;4;3;4;3;2;5;1;5;3;3;3;1;3;1;2;2;1;3;7;0;2;0;3;3;2;5;100;NA;3;5;15.68;4.06;3.873520923;16.54;2.133333333;28.33333333;66.74333333;6;2;31.42;44.03;36.74;7.29;58.35;25.36
2019g-08-28;7;7;3;7;2;5;4;5;4;1;1;3;1;5;3;3;3;1;1;1;3;2;2;3;7;5;3;0;3;3;1;5;95;NA;4;1;12.04;3.44;3.50769464;14.4;1.563333333;27.33333333;60.94666667;3;1.745;14.895;18.69;17.4;1.29;57.91;29.025
2019g-08-29;3;3;3;3;3;9;4;3;4;1;1;3;1;4;3;7;3;1;3;1;2;2;1;3;7;3;2;0;3;3;1;3;105;NA;4;1;18.56;2.3;8.126765988;21.64;2.236666667;31.33333333;59.77666667;3.666666667;2.16;7.75;10.79;8.94;1.85;58.18;35.79
2019g-08-30;3;5;3;3;3;9;2;3;4;1;1;5;1;5;3;3;3;1;4;1;1;0;1;3;7;5;3;0;4;3;1;3;0;NA;3;3;15.8;3.94;4.018669308;22.92;1.963333333;35.66666667;56.94;3.666666667;2.1;10.88;19.63;16.62;3.01;64.34;28.54
2019g-08-31;9;5;3;7;2;5;4;7;4;1;1;5;1;5;3;3;3;1;1;1;1;0;1;3;7;3;3;0;3;3;1;5;0;NA;6;5;15.78;4.96;3.185541975;19.62;1.49;34;46.71;6;2.47;6.02;21.48;16.85;4.63;78.11;35.01
2019g-08-32-;3;7;3;3;3;9;4;3;4;1;1;5;1;5;7;3;3;1;1;1;3;2;2;3;7;0;3;0;4;3;1;5;105;NA;6;1;13.16;3.78;3.485636023;16.36;2.183333333;26.66666667;58.74666667;4;2.54;19.05;28.63;23.27;5.36;60.05;36.57
2019g-08-33;3;7;3;3;3;9;2;3;3;3;1;5;1;5;3;3;3;1;1;1;2;2;1;3;7;0;3;0;3;3;1;5;100;NA;6;1;12.62;3.54;3.590038314;17.06;2.32;24.66666667;64.19666667;2;1.8;8.33;12.36;12.36;0;59.73;NA
2019g-08-34;3;7;3;3;3;9;4;3;4;2;1;5;1;5;1;3;3;1;1;1;3;2;1;3;7;3;2;0;4;3;1;5;90;NA;6;2.5;15.8;4.16;3.803851598;21.72;2.176666667;32;50.14666667;4.333333333;2.1;35.08;44.2975;39.3525;4.9425;56.8625;34.28
2019g-08-35;5;5;3;3;3;9;4;3;4;1;2;5;1;5;7;7;3;1;1;1;1;0;1;3;7;3;3;0;3;3;1;5;0;NA;4;1;13.28;2.92;4.561290823;17.44;1.9;26;46.05;7.333333333;1.74;7.94;13;9.23;3.77;62.09;34.46
2019g-08-36;5;5;3;3;3;9;4;3;4;1;2;3;1;4;3;7;3;1;1;1;2;2;1;3;7;5;1;0;3;3;1;5;100;NA;6;3;13.66;2.38;5.803716586;15.24;2.896666667;22;50.25333333;6;2.26;10.65;20.79;18.16;2.62;66.13;35.38
2019g-08-37;5;3;5;3;3;9;4;3;4;1;2;5;1;4;3;7;3;1;1;1;2;2;2;3;7;3;3;0;3;3;1;5;90;NA;6;1;15.92;2.24;7.114249012;20.76;2.553333333;19.33333333;64.26;5;2.2;22.45;44.17;32.36;11.81;66.3;35.42
2019g-08-38;3;7;3;3;3;9;4;3;4;1;1;5;1;5;3;3;3;1;4;1;1;0;2;3;7;3;2;0;3;3;1;3;0;NA;3;3;17.56;4.48;3.926094219;24.98;1.94;25.66666667;52.49666667;4.666666667;2.56;18.35;24.05;18.79;5.26;56.72;34.6
2019g-08-39;5;5;5;3;3;9;4;3;4;1;1;5;1;4;3;7;5;1;4;1;1;0;1;3;7;5;1;0;3;3;1;5;0;NA;4;1;13.98;2.24;6.292486166;15.88;2.37;21.66666667;50.85666667;4.333333333;1.77;12.36;13.47;9.58;3.89;52.15;31.51
2019g-08-40;3;3;5;3;2;8;2;3;3;1;3;5;1;9;3;7;3;1;3;1;2;2;2;3;7;5;3;0;3;3;1;3;80;NA;6;1;13.94;2.16;6.528594896;18.72;1.77;21;43.08;2.666666667;1.52;3.47;4.28;4.28;0;55.22;NA
2019g-08-41;5;5;3;3;3;9;4;3;4;1;2;5;1;4;5;7;5;1;3;1;2;2;2;3;7;0;3;0;3;3;2;5;95;NA;4;3;21.14;3.56;6.058531132;28.54;2.663333333;25;59.22333333;3.333333333;2.71;5.56;7.61;7.61;0;57.81;NA
2019g-08-42;5;5;3;3;2;9;4;3;4;1;2;5;1;4;3;7;5;1;1;1;1;0;1;3;7;3;3;0;3;7;1;3;0;NA;4;1;20.68;2.74;7.585340266;24.18;2.593333333;25.33333333;46.53;3.666666667;1.08;3.7;7.87;5.79;2.08;68;NA
2019g-08-43;3;2;3;3;3;9;4;3;4;3;1;3;1;5;3;3;3;1;2;1;2;2;2;3;7;0;3;0;3;7;2;5;100;NA;6;1;13.88;3.56;3.894749776;17.42;2.203333333;30;71.16666667;6.333333333;2.11;21.53;27.25;25.39;1.85;55.86;34.29
2019g-08-44;7;5;3;3;3;8;2;3;3;1;2;5;1;5;1;3;3;1;4;1;3;2;1;3;7;3;3;0;3;7;2;5;105;NA;4;2;15.62;4.14;3.780427273;18.86;1.27;31.66666667;53.52;5.666666667;2.64;31.585;28.82;20.415;8.405;47.135;30.24
2019g-08-46;3;3;3;3;3;9;2;3;4;1;1;3;1;5;5;3;3;1;1;1;1;0;2;3;7;0;3;0;3;7;1;3;0;NA;4;3;17.58;4.5;3.917817737;27.5;1.623333333;32;63.02;6;2.06;41.53;31.04;23.26;7.78;42.78;34.93
2019g-08-47;3;7;3;3;3;6;4;3;4;3;1;5;1;5;3;3;3;1;3;1;3;3;2;3;7;3;3;0;3;3;2;3;100;NA;6;3;14.78;4.1;3.608972274;19.32;2.166666667;35.33333333;63.98666667;5.666666667;2.51;45.45;48.45;42.125;6.32;51.85;30.375
2019g-08-48;7;5;3;5;2;5;4;3;4;1;1;5;1;5;7;3;3;1;1;1;2;2;2;3;7;5;3;0;3;7;2;5;100;NA;4;1;12.84;3.5;3.672614379;17.6;2.2;36.33333333;62.03333333;6;1.87;11.51;27.36;23.39;3.97;70.39;37.94
2019g-08-49;7;5;3;7;2;5;2;5;4;1;1;3;1;5;3;3;3;1;1;1;2;2;2;3;7;5;3;0;3;3;2;3;100;NA;3;3;13.52;3.7;3.656866152;15.1;2.116666667;20.33333333;65.64333333;3.333333333;2.17;36.275;43.34;33.53;9.815;54.53;23.885
2019g-08-50;7;7;3;5;3;9;4;5;4;1;1;5;1;5;3;7;5;1;1;1;3;3;2;3;7;5;3;0;3;3;2;3;115;NA;4;3;16.38;3.94;4.160960093;23.3;1.716666667;28.66666667;70.7;5.333333333;2.15;16.645;35.35;29.31;6.045;69.98;34.165
2019g-08-51;5;3;3;3;2;5;4;3;4;3;3;5;1;5;1;3;3;1;1;1;1;0;1;3;7;3;3;0;3;3;1;5;0;NA;4;3;17.82;6.42;2.775692326;25.58;1.653333333;29;57.41333333;3;1.18;7.64;16.67;12.5;4.17;68.57;31.19
2019g-08-52;3;5;3;3;3;8;2;3;4;3;2;5;1;5;3;3;3;1;1;1;2;2;1;3;7;5;1;0;3;3;1;5;105;NA;6;2;10.68;2.62;4.102692431;16.24;1.77;29.33333333;49.46;6.333333333;1.51;6.71;11.69;8.33;3.36;63.52;34.4
2019g-08-53;5;3;3;3;2;5;4;3;4;3;2;5;1;5;3;3;3;1;1;1;3;2;2;3;7;0;3;0;3;3;1;5;110;NA;3;1;13.52;4.44;3.069181791;19.6;2.22;28.33333333;65.05666667;6.666666667;1.2;59.03;63.89;106.94;31.94;51.98;24.89
2019g-08-54;3;3;3;3;3;9;4;3;4;3;1;5;1;5;3;3;3;1;1;1;2;2;1;3;7;0;2;0;3;3;1;5;100;NA;6;1;15.8;4.24;3.750003596;18.56;2.136666667;26.33333333;64.39666667;6.666666667;2.22;20.83;33.25;27.69;5.56;61.48;33.13
