PLOT ;Ano;Campo;Local;Genotipos-BGM-;Genotipos;Bloco;PRC;PTR;"Peso da parte aerea			|CO_334:0000016";IC;"Altura de planta			|CO_334:0000018";"Altura de planta sem folha			|CO_334:0000125";NMa ;DMC (specific gravimetry);HCN (Lab);PROD-AMD;"Porte de planta			|CO_334:0000099";PRNC;Vigor;"Retencao foliar			|CO_334:0000048";"Numero de raiz			|CO_334:0000011";Peso raiz ;Teor de amido Corrigido;DMC Forno;"HCN-1			|CO_334:0000091";"HCN-2			|CO_334:0000091";"HCN-3			|CO_334:0000091";"HCN-4			|CO_334:0000092";"HCN-5			|CO_334:0000093";"HCN-6			|CO_334:0000094";"HCN-7			|CO_334:0000095";"HCN-8			|CO_334:0000096";"HCN-9			|CO_334:0000097"
-;2014;BAG2;Coopamido (Laje);BGM-2098;BGM-2098;5;6.48;8.1;3.78;68.18;1.17;-;-;29.85;-;2.04;1;1.62;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2098;BGM-2098;5;11.67;21.39;10.69;66.67;1.28;-;-;31.34;-;5.71;5;9.72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2098;BGM-2098;6;9.72;11.53;3.33;77.57;1.07;-;-;30.79;-;3.01;1;1.81;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2098;BGM-2098;6;8.29;16.36;8.2;66.61;1.17;-;-;32.51;-;4.56;5;8.07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2098;BGM-2098;7;13.37;14.71;5.71;72.02;1.3;-;-;32.18;-;4.05;1;1.34;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2098;BGM-2098;7;13.11;20.49;8.85;69.82;1.38;-;-;32.33;-;5.67;5;7.38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2098;BGM-2098;8;10.05;14.91;3.89;79.31;0.87;-;-;33.88;-;4.36;3;4.86;1.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2098;BGM-2098;8;6.14;13.49;6.87;66.27;1;-;-;32.5;-;3.76;5;7.35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2098;BGM-2098;9;14.58;21.39;6.97;75.43;1.07;-;-;32.67;-;5.99;5;6.81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2098;BGM-2098;10;7.29;24.31;10.33;70.18;1.2;-;-;30.89;-;6.38;5;17.01;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2099;BGM-2099;7;4.6;28.99;12.76;69.44;1.23;-;-;31.71;-;7.85;5;24.39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2100;BGM-2100;7;16.62;31.47;16.49;65.61;1.95;-;-;36.39;-;9.99;5;14.84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2101;BGM-2101;7;4.51;13.5;4.73;74.05;1.15;-;-;32.34;-;3.74;5;8.98;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2102;BGM-2102;1;9.94;17.26;11.86;59.28;1.39;-;-;35.86;-;5.39;1;7.32;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2102;BGM-2102;1;7.81;20.05;6.94;74.28;1.3;-;-;34.18;-;5.92;5;12.24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2102;BGM-2102;2;7.29;8.26;9.72;45.95;0.87;-;-;38.31;-;2.78;1;0.97;1.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2102;BGM-2102;2;8.94;16.32;9.12;64.16;1.23;-;-;37.46;-;5.35;5;7.38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2102;BGM-2102;3;10.59;17.45;13.15;57.02;1.67;-;-;35.27;-;5.34;1;6.86;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2102;BGM-2102;3;6.77;16.49;7.47;68.84;1.63;-;-;34.36;-;4.9;1;9.72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2102;BGM-2102;4;10.68;20.4;19.53;51.09;1.5;-;-;37.11;-;6.62;1;9.72;1.2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2102;BGM-2102;4;5.64;12.11;5.56;68.55;1.25;-;-;33.32;-;3.47;5;6.47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2102;BGM-2102;5;9.94;17.26;11.86;59.28;1.39;-;-;35.86;-;5.39;1;7.32;1.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2102;BGM-2102;5;12.07;25.52;10.94;70;1.47;-;-;34.12;-;7.52;5;13.46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2102;BGM-2102;5;10.07;16.84;6.81;71.19;1.47;-;-;33.51;-;4.86;5;6.77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
