Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
151;BGM-0056;3;3;5;3;3;7;1;3;1;1;1;5;0;5;3;3;5;1;1;1;1;0;2;2;3;5;3;0;4;3;3;5;0;3;8;2.714285714;12.2;3.22;3.79625;16.82;3.39;35.97916667;73.11833333;4.291666667;2.023846154;23.19769231;33.20615385;22.78666667;10.28666667;57.46923077;33.59538462
152;BGM-0057;5;3;5;3;2;7;1;3;1;2;1;5;0;2;3;3;5;1;3;1;3;0;NA;2;3;5;3;0;4;7;2;5;90;3;NA;NA;16.54;5.56;2.974354487;26;NA;NA;NA;NA;2.595;33.34333333;29.65833333;25.985;2.255;44.245;35.69833333
163;BGM-0073;5;7;5;3;2;6;3;5;4;1;1;5;1;5;1;3;5;1;2;1;2;2;2;2;7;0;2;0;4;3;1;5;100;5;8;1.714285714;18.5;5;3.702382353;27.04;2.46;20.58333333;52.64583333;2.958333333;2.128461538;15.39615385;15.87307692;11.07833333;5.129166667;46.62384615;36.07230769
165;BGM-0075;7;5;5;5;2;7;3;3;3;1;1;5;1;6;3;3;5;2;1;1;2;3;1;2;7;0;2;0;3;3;1;5;100;5;4;1.333333333;10.62;3.4;3.123529412;12.72;3.353333333;27.33333333;44.03;4.666666667;1.878888889;28.29444444;18.12333333;12.9525;5.9025;40.44222222;33.69777778
171;BGM-0084;5;9;5;5;3;9;4;5;4;1;1;5;1;5;3;3;5;1;1;1;2;2;2;2;7;5;2;0;3;3;2;5;120;5;4;1.5;9.8;2.94;3.338298078;15.72;1.793333333;18.91666667;39.25833333;2.333333333;1.712307692;13.53076923;10.87923077;8.321666667;2.590833333;40.38615385;35.23416667
174;BGM-0088;5;3;5;3;2;3;4;3;3;1;1;7;1;5;3;7;5;1;1;1;2;0;1;2;7;5;2;0;4;3;2;3;40;3;4;1.3125;12.86;3.58;3.591442577;16.62;2.556666667;29.0625;56.0275;3.833333333;1.856666667;16.91066667;19.674;11.64615385;8.656153846;52.414;32.88333333
183;BGM-0100;5;2;5;3;3;9;2;5;4;1;1;5;1;5;3;7;5;1;4;1;1;0;1;2;7;5;3;0;4;3;1;5;100;3;8;1.4;11.06;3.74;2.981151457;16.26;2.32;25.42222222;65.02666667;4.111111111;1.828181818;14.71727273;17.89;12.292;5.492;55.40545455;33.68
193;BGM-0116;5;7;3;NA;2;6;2;NA;3;1;1;NA;1;5;3;NA;5;1;2;1;2;2;1;2;3;5;3;0;3;3;2;5;90;3;8;2.285714286;15.78;4.4;3.587748034;23.36;2.17;28.91583333;61.12;3.875833333;2.015689655;27.56965517;23.99741379;19.27245614;8.354615385;46.64258621;36.09741379
196;BGM-0120;9;5;5;5;3;8;2;5;4;4;2;3;0;5;3;7;5;1;1;1;2;0;1;2;7;5;2;1;3;3;1;7;90;3;8;2.333333333;20;5.4;3.709563543;27.94;1.326666667;26;58.69888889;4.666666667;2.447857143;40.85785714;36.94357143;34.12;5.735;48.62428571;33.08071429
207;BGM-0134;5;9;5;3;3;7;2;3;2;1;2;5;0;5;3;3;5;1;2;1;2;1;2;2;3;5;3;1;4;3;1;5;100;3;4;1.142857143;15.46;3.32;4.690661364;21.1;2.45;27.85;55.0225;5.125;2.17;22.15214286;21.08571429;14.55923077;6.133076923;47.45714286;36.87
